gene_symbol	logFC
LYPD8	1.6513377530763476
APOA2	1.217515893885796
MUC4	1.062817590925117
NMNAT2	1.039711091931355
THBS2	-1.0146337382778852
PLAU	-1.0269266885647634
COL10A1	-1.0283500163743746
ITGA1	-1.0510218798689528
SLCO1B3	-1.0588620238294975
ADAMTS4	-1.0806917786694752
CA2	-1.100250466813631
TNFSF4	-1.1039277503549154
CXCL8	-1.1268366463357162
MMP10	-1.1489156253643973
ROBO2	-1.181330366223501
ITGBL1	-1.1851317571830775
IBSP	-1.1866191153665806
PDZD2	-1.2223778306675692
CXCL10	-1.234683206896671
IGFBP3	-1.2450150048566258
GPR19	-1.2477052861158182
HOPX	-1.2616892881111617
FLT1	-1.2825749527613544
ANGPT2	-1.2937183565352686
MMP7	-1.3142458913036164
DIO2	-1.32614824214602
BMP8A	-1.3498522208494192
SHISA2	-1.3679417622940824
CXCL9	-1.380758991662121
CXCL11	-1.3842688484402594
MMP11	-1.6376540425238164
GRP	-1.7914614646681055
ESM1	-2.1912623316000417
