gene_symbol	logFC
REG1B	2.0586850935962278
REG1B	1.8907086579102108
IGLL5	1.8415316010388239
IGLV1-36	1.8415316010388239
IGLV1-44	1.8415316010388239
IGLV1-47	1.8415316010388239
IGKV3-11	1.7866912400089987
IGKV3D-11	1.7866912400089987
REG1A	1.637606152172992
PLA2G2A	1.6107335095442525
CCL11	1.6059163579333404
IGK	1.600397912388399
IGKC	1.600397912388399
IGKV1-16	1.600397912388399
IGKV1-5	1.600397912388399
IGKV1D-16	1.600397912388399
IGKV1D-17	1.600397912388399
REG3A	1.5925392114218715
SPINK4	1.5844705796379146
CLC	1.5823686304476088
IGKV2-28	1.4817693308880306
IGKV2D-28	1.4817693308880306
CLCA1	1.457050172573591
IGKV3-20	1.4555201896981116
IGKV3D-20	1.4555201896981116
ADH1B	1.436574511365383
ITLN1	1.3854010044546183
ADH1B	1.3725890951547866
MS4A1	1.3621996238520515
IGLL3P	1.3600706307012085
ADH1B	1.3596579898844983
IGKV1-12	1.3241642538245184
IGKV1D-12	1.3241642538245184
JCHAIN	1.313736949545853
LGALS2	1.3067019393837664
ADH1C	1.2637085594098447
IGHG1	1.2632585774217995
IGHG3	1.2632585774217995
IGHM	1.2632585774217995
IGHV4-31	1.2632585774217995
ADH1B	1.2591984957461835
IGHG3	1.2571303004045316
IGHG1	1.2532628768873715
IGHG2	1.2532628768873715
IGHG3	1.2532628768873715
IGHM	1.2532628768873715
IGHV4-31	1.2532628768873715
JCHAIN	1.2325361578797427
IGHG1	1.227606965513704
IGHG3	1.227606965513704
IGHM	1.227606965513704
IGHV4-31	1.227606965513704
GAPT	1.2207617468970835
IGHG1	1.208207073797894
IGHG2	1.208207073797894
IGHG3	1.208207073797894
IGHM	1.208207073797894
IGHV4-31	1.208207073797894
PLA2G2A	1.17203391330884
CYP1B1	1.1677042303581098
ADH1C	1.1522654040792497
TNFRSF17	1.1486104802235033
GCG	1.1456046935712798
MZB1	1.1107440058072586
IGH	1.1101298265013102
IGHA1	1.1101298265013102
IGHA2	1.1101298265013102
IGKV1-5	1.1097757599142386
IGHG1	1.0959214254891205
IGHG3	1.0959214254891205
IGHM	1.0959214254891205
IGHV4-31	1.0959214254891205
IGK	1.0875442267179256
IGKC	1.0875442267179256
IGKV1-5	1.0875442267179256
IGKV2-24	1.0875442267179256
IGHM	1.0845588046058574
CHGA	1.0737848652688315
ORM1	1.0670553595033514
ORM2	1.0670553595033514
POU2AF1	1.0406856451943447
IGHA1	1.029104064839751
CCR3	1.0265266740212504
ANKRD36BP2	1.0215709601329623
OGN	1.01438392253093
MT1M	1.009704131247896
FCGBP	1.006763775645085
IGLJ3	1.005639260641265
IGLL5	1.005639260641265
IGLV3-19	1.005639260641265
GDF15	-1.0053997641810901
COCH	-1.009924635708238
ANO1	-1.0315965584918307
COL4A1	-1.0336679162747946
PDGFA	-1.0406294113278933
SLC6A14	-1.0423520308024448
TNFSF11	-1.043863649345269
PTGS2	-1.0445373790221584
ADGRF5	-1.0527217847120682
INHBA	-1.0539539981671144
THBS1	-1.0539886882467986
CXCL8	-1.0556253503051352
ENPEP	-1.065226227598645
CXCL8	-1.065397613075447
MMP1	-1.0737457107710642
PTGS2	-1.0764943855782687
ACKR3	-1.0780267518217879
ITGA1	-1.08878724404744
CYR61	-1.0952944656724277
C11orf96	-1.118163654848318
FN1	-1.1534526166874595
COL4A1	-1.1556275154542195
FN1	-1.1613092086585244
FN1	-1.170693543436835
FN1	-1.1780285311535748
GDF15	-1.2010594647749209
INHBA	-1.2119905812700527
FN1	-1.2232610349760824
MMP3	-1.2317087923284331
STC1	-1.2336064058152234
STC1	-1.2652156043103981
ADAMTS4	-1.2722773939526673
ANGPT2	-1.3041208145683432
BMP8A	-1.3145846377518962
IL6	-1.3202994991284094
IL11	-1.3361744456301583
ANGPT2	-1.344710133587695
GDF15	-1.3456457398540889
MMP10	-1.406038168385462
CYR61	-1.4223776949303881
ANGPT2	-1.4581190009009983
COL10A1	-1.535650273048725
ESM1	-2.834243189458806
ESM1	-3.8991449868350307
