gene_symbol	logFC
MAGEA11	2.106035388015091
RPS4Y1	1.962419309807563
CKMT2	1.9315470251470326
DDX3Y	1.8834962227497782
WT1	1.8644414138649645
HLA-C	1.846729247941025
PTPRO	1.757904885595352
ORM1	1.7334821798712916
ORM2	1.7334821798712916
ORM1	1.7168147991136007
CXCL8	1.6912251769413225
ORM1	1.6425251075464897
CXCL8	1.5182294967450751
SLC3A1	1.4926185303015869
ORM1	1.4678256984480695
SLC3A1	1.4564471841455044
EIF1AY	1.4225583953195569
CXCL8	1.4093175737063555
SLC6A20	1.367564175576173
CYP4X1	1.3459026988695655
DUSP27	1.335267489355585
CCL18	1.3088927098436778
PTPRO	1.2786050618216622
CXCL5	1.2225319313981289
CXCL5	1.2091931284057063
CXCL5	1.2074998527466447
ACSL6	1.1981098390620897
FAM118A	1.1973782481574085
FAM118A	1.1928106008666117
SLC30A2	1.1690035034611264
NETO2	1.1408248950842514
MT1H	1.1376589270948014
C2CD4A	1.1369690823435257
NETO2	1.1199873893099381
JAG1	1.0926448009209817
PTPRO	1.085223667133367
LY6G6D	1.083160975822156
XKR9	1.0758581999883468
GPR143	1.070089749975453
MT1F	1.068575586075432
TMEM158	1.0591603320237348
TWIST1	1.0551689941982856
JAG1	1.054983824732576
FABP3	1.0535158196395908
TM4SF20	1.0525806016209323
CHN2	1.0347913204029604
LOC101928168	1.0347913204029604
APCDD1	1.032403804163568
FZD10	1.028486785509097
IL6	1.0274585524618127
PTPRO	1.023136802411649
MT1A	1.0229608710027598
MT1P3	1.0229608710027598
DDX3Y	1.0156389445218807
TRIB3	1.0130855732588226
DDX3Y	1.011808730315097
GDF10	1.0086318186324263
GPCPD1	1.0061862567043636
CTSE	-1.0008607743277897
CHGA	-1.001668743979223
CPNE8	-1.0040520455090591
REP15	-1.005372621138807
SOX6	-1.0059107495629267
ERLIN2	-1.0079246438026612
RARRES1	-1.008486787789993
SYNPO2	-1.0176271850609697
MUC2	-1.0239748626457326
ST6GALNAC1	-1.0246209098096901
ERLIN2	-1.0258391053601859
PRKACB	-1.029853616808669
SERTAD4	-1.0313090776361877
SLC16A4	-1.0348299908694578
PUDP	-1.038041647776192
JCHAIN	-1.041325261550099
LYZ	-1.0436454980705425
SLITRK6	-1.05108227501072
SCEL	-1.0584061993218428
AQP3	-1.059825263695276
ADAMDEC1	-1.0635052145692239
MFAP5	-1.0662674498672995
XIST	-1.0717969100765585
CXCL12	-1.0744295763061267
FMO5	-1.0775072763092395
RARRES1	-1.0809835318389063
FAM46C	-1.081040343386134
MAGEA2	-1.083521344398077
MAGEA2B	-1.083521344398077
SIDT1	-1.0835508130208578
CLDN8	-1.0836859343417762
FABP1	-1.084915933938874
PRDM10	-1.084915933938874
TMIGD1	-1.0856277093366806
PUDP	-1.0929894735527077
VSIG2	-1.0933121566540493
MAGEA2	-1.0942334073916538
MAGEA2B	-1.0942334073916538
