GSM1471838	GSM1471839	GSM1471840	GSM1471841	GSM1471842	GSM1471843	GSM1471844	GSM1471845	GSM1471846	GSM1471847	GSM1471848	GSM1471849	GSM1471850	GSM1471851	GSM1471852	GSM1471853	GSM1471854	GSM1471855	GSM1471856	GSM1471857	GSM1471858	GSM1471859	GSM1471863	GSM1471864	GSM1471865	GSM1471866	GSM1471867	GSM1471868	GSM1471869	GSM1471870	GSM1471871	GSM1471872	GSM1471873	GSM1471874	GSM1471875	GSM1471876	GSM1471877	GSM1471878	GSM1471879	GSM1471880	GSM1471881	GSM1471882	GSM1471883	GSM1471884	GSM1471885	GSM1471886	GSM1471887
T cells	5.56322748385993	5.43500806535693	5.31823218209536	5.9155758062669	5.50935253069604	5.68155601428838	5.73488083094597	5.19627894146678	6.71990790842711	5.8863760207441	6.23916078988301	6.27584512184508	5.80064415039131	5.64378324286351	6.12231936886638	5.57165557375258	5.70595217166604	5.3640854373525	5.41348938178969	5.65787438963785	5.35478044763366	5.76723708669046	5.97386319097608	5.14816200195127	5.66470202953684	5.48367716351598	5.73322141085014	5.55243841590313	5.47493017057601	6.03711154692808	5.79391318657689	5.97885431482674	5.86866454490565	5.37369201688086	5.64090957058774	5.8548975430011	5.89869544501676	5.74803716775933	5.73661318417339	5.96549365049859	5.64233152660667	5.40602398451243	5.90640132918669	6.41376593467171	6.08290159683008	6.01916588389042	5.64330321072203
CD8 T cells	5.40205822972965	5.70886077135114	5.66134098741375	5.44613188023982	5.23822190661188	5.20337565941136	5.54554933332914	5.50016782114702	5.69410083664724	5.653917678512	5.82890087064202	5.54793675347135	5.49750956027614	5.58226617623554	5.68962786695803	6.08698675881168	5.88332151706088	5.61678488830431	5.98999242899196	5.59537923456313	5.37932604024064	5.50975915170954	5.48532213156439	5.10169954446885	5.73422040348181	5.68544394211777	5.57129278656732	5.70717578662817	5.40210026740039	5.74552295906316	5.17753965740171	5.56089870985187	5.69275695870519	5.3922972703531	6.15596873949108	5.54809212396654	5.58344840256421	5.73782305959393	5.27036307557457	5.54435847026178	5.44476340105064	5.7908485926983	6.37233589920209	5.50377774156262	5.88503426207607	5.7064359412695	5.10351106235827
Cytotoxic lymphocytes	5.38837116848986	4.84681056326684	4.88551547738659	5.84839212811054	5.20670681720855	5.26461008362359	5.73764877155104	4.99286618274419	5.97934237830821	5.39975216635728	5.66313003084479	5.60060320961097	5.24228858517616	5.11119826952106	5.54267380382243	4.99962050456238	5.84774300579399	5.0741965913466	5.08514676560737	5.51903942387175	5.27979804264969	5.50455658708933	5.68828096932179	4.91838294719668	5.42081960886165	5.24541519111362	5.36933871233545	5.29725129376029	5.35139261333167	5.97247015874965	5.08214717840008	5.29424544698098	5.55277341511979	4.87350570656669	5.48975085815514	5.70645000497532	5.8269889900339	5.71170056785778	5.40191600225921	5.29337759908589	5.50481936619669	5.01209528477498	5.36778649604545	5.70999829759315	5.40549832308899	5.30898014065015	5.03229685793438
B lineage	7.52956764588594	5.93931376760453	6.47368662240712	7.24679610748602	6.06748369228726	6.43720492638571	7.70262081298456	5.9318380903865	8.84025428898343	6.55660431399052	7.31408496497268	8.78800315866268	7.06761591722211	6.69309963262975	8.60661658724291	6.40799273125066	7.24725952348009	5.87381295560531	5.92297978975787	7.30027872685743	6.02200553013943	6.35065512692291	7.73775249191503	6.30587710136643	6.34527108952728	7.1963598680886	6.7205440978438	7.85175901876618	6.03625163530563	7.57324152825998	7.25612807386922	7.42929708572713	8.0552115689163	5.8645149992076	5.73909329797555	7.33137243921817	6.11147329623298	6.40836725132346	8.65961304030913	6.95202017667777	6.73722778978991	6.15529369127313	6.73883772550885	8.55309127125469	8.05014455478582	7.17864640426975	7.27753009770534
NK cells	5.06798963399967	4.88252240706882	4.68970562762121	5.18845219318368	4.62506025843005	4.65301349886402	5.03279721399054	4.46999708791954	5.0443892798701	4.50463248095048	4.69621946116991	4.82848211793125	4.45175889762157	4.42791526495816	5.0164867939277	4.63871912074187	4.96848514571706	4.76817060505781	4.7617009370386	5.12170885255817	4.61388084884071	4.6547846523964	4.87338009597644	4.64517321915782	5.07806829487455	4.95919083599514	4.54024431930659	4.93502618968414	4.55597758018172	5.15680233802556	4.4528852787188	4.59400458121985	5.09393905636748	4.63963507486339	4.58605565404752	5.01963728067208	4.74154745142152	4.66480587649161	4.91182506918256	4.68184834865382	5.08356311250999	4.61899862479333	4.77514034720597	4.95770965218804	4.66635975925465	4.53912257599224	4.63159073930885
Monocytic lineage	6.12018249618965	6.61708996844481	6.72704825073312	6.95034871561487	7.5753415387788	7.35987000134623	6.79410886372384	7.00939619752377	7.07677053355293	6.72460819079673	7.06444452664833	7.31414366101663	7.16688328751668	6.67961821406153	6.66837246350286	6.83090784804898	7.08628501252926	6.50466619747415	7.10657200080293	6.92193600719344	7.65159073747313	7.84680271924023	7.15216192103439	6.44278318506185	6.74883030307327	6.98417801027782	7.254503601689	6.61573512847362	6.9527311667611	6.92719037177685	7.02673161845796	7.21570796526866	6.83247563093119	6.79750278548951	7.00973253643132	6.89649716468198	7.03571270628457	6.45102992902877	6.88429722768924	7.97657428562838	6.61095851574259	7.38843194732153	7.40530218743904	7.40773050049624	6.59100664042541	7.15808339229578	6.37923440676392
Myeloid dendritic cells	5.61826455933329	5.34314493856413	5.10883688812978	5.87175859024226	5.24797696431443	5.47963600135203	5.7943703724553	5.12704787556192	6.25041884956638	5.30835253157063	5.77896051635702	5.99379485834208	5.57977569790913	5.2887359246925	5.75961536713884	5.26132455406299	5.81402815154684	4.96034989293927	5.16620672560123	6.03389023718247	5.44800062204228	5.4842601081294	5.79903418114302	5.18934620698797	5.62186592947912	5.73196408760489	5.66411769089814	5.64572587702633	4.93975977624943	5.72088659168997	5.50848698165634	5.47563664743325	5.7747725180721	5.23068354269522	5.00763983904184	5.70397220884759	5.17759906237624	5.10115921266411	5.71789791933485	5.3995961170937	5.56069608863655	5.76910512846984	6.07483433028481	6.01712841267286	5.91001873236658	5.70105807883569	5.31456776324305
Neutrophils	5.78542872291403	5.89863786335269	6.30212399575161	6.003137447832	6.30212608660345	6.32128787905376	5.74014544511214	7.03226265291662	5.9136100055734	6.01883103946931	6.36179715342796	5.98882076099595	6.44412710589603	6.36416477892284	5.88977573112859	5.98720006697585	5.95358934994458	6.49545637327654	6.82241187255022	6.04739132894758	6.3450400175473	7.49005589651912	5.93928329441302	6.17702839560457	6.05356836679459	6.05029816278371	5.87244277548003	6.09055077522405	6.38011836438526	6.1727880228885	6.17225104338766	6.29953418758378	6.11349522380611	6.26207820978422	6.05416633598784	5.98242809645661	5.78635800882567	5.98002764280774	6.07740073316968	8.21712056335485	6.0234322790139	6.90419808326625	6.97225591555044	5.99761177299284	5.95416093641269	6.25730043219568	5.77583006533798
Endothelial cells	5.96593188525853	5.98999342237194	6.13901144634655	5.74455419257404	6.35605953822744	5.77023689473497	5.88261080619576	6.00954129819618	6.05406637313977	5.77743321493683	5.82810789482112	5.98920506052646	6.17562450961779	6.10063801889949	5.97855731167067	6.22893233150563	6.04862497498472	6.95444463795823	6.07074148378694	6.20775238146734	6.48058095154623	6.43192551170905	5.95113145719795	6.04086781402044	5.92322247125796	5.94438284758618	6.1799987447399	6.07898268469344	5.94037821614527	5.94312379677004	6.47967697555487	6.21291104458246	5.74192002951796	5.9171202289337	6.24088404563561	6.12838859056681	6.04226079341019	5.75426331834607	5.8375554308791	6.78797128544976	5.83623684853092	6.81917112984759	6.32348818550057	6.15538456447269	6.05107164501425	6.48803482924489	5.6648555437741
Fibroblasts	8.4327059525354	9.71668081235915	9.85606752487428	7.74973017148979	10.5601887766357	10.0098959798532	8.55884376477779	9.12398471012526	8.62532399734856	8.53612326189191	8.79504084277592	8.86181768117126	9.04194027194104	9.23154609700282	8.41418817605412	9.741086304276	8.5246876646025	9.61000562783273	9.32306329562733	8.92540558810009	10.7345976917846	10.8908846389125	9.26832812455883	8.33369760247355	8.95859236805202	8.77679965140841	8.92306843729172	8.92623093027854	10.8434006823076	8.43723587153451	9.90506381484921	10.2225890123152	8.53008019350823	9.1218594235983	10.2052293146147	9.14939669169597	9.05758365590352	8.09808928122154	8.52496446779424	10.1089721216476	8.33403901680688	10.2115682576234	9.86379567370537	9.22625838868762	9.06615917568324	10.0518699438603	8.31848967521567
