"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"11728232_a_at"	-5.54363585219098	8.57247777682944	-42.2915724608829	1.09979137667596e-27	5.4324195050909e-23	51.7839627204593
"11761921_x_at"	3.42986462204052	7.18522135935862	37.8816521129201	2.56487550063667e-26	6.33460126769741e-22	49.0830934547387
"11732094_a_at"	6.09434379556247	7.12284832435702	35.3134432281461	1.89703624862821e-25	3.12347018336635e-21	47.3183473713115
"11721389_a_at"	2.98838952806558	5.42730381612307	34.6974531230497	3.12966391847673e-25	3.86474373132895e-21	46.871414132406
"11732838_at"	4.88397530070978	6.67600798401268	33.1275204687552	1.16606660113711e-24	1.15195719526335e-20	45.6875430732963
"11742188_a_at"	3.12381813022578	4.94842226516713	32.5514802630293	1.91775915997228e-24	1.52975831385405e-20	45.2362302286158
"11728234_a_at"	-5.0969435306509	7.78000063294263	-32.4109997939343	2.16789314646794e-24	1.52975831385405e-20	45.1247329600524
"11715481_a_at"	5.77060929382547	5.78065689884959	32.12116699523	2.79629269447323e-24	1.72653597054381e-20	44.892887516942
"11715444_at"	4.26940943567648	5.16396715852166	31.648533283671	4.25491719608236e-24	2.3352403877832e-20	44.5095003605511
"11737102_at"	2.94785182501415	4.55138442684902	28.6936393314125	6.76779286774365e-23	3.095608804117e-19	41.9524757855745
