AFFYMETRIX_3PRIME_IVT_ID	Name	Species	name_abbr
11741180_a_at	alpha-1-B glycoprotein(A1BG)	Homo sapiens	A1BG
11715363_a_at	alpha-2-macroglobulin(A2M)	Homo sapiens	A2M
11728027_x_at	mitochondrial matrix import factor 23(MIX23)	Homo sapiens	MIX23
11748981_a_at	N-acetyltransferase 1(NAT1)	Homo sapiens	NAT1
11732476_at	N-acetyltransferase 2(NAT2)	Homo sapiens	NAT2
11716491_s_at	serpin family A member 3(SERPINA3)	Homo sapiens	SERPINA3
11716490_a_at	serpin family A member 3(SERPINA3)	Homo sapiens	SERPINA3
11744163_at	arylacetamide deacetylase(AADAC)	Homo sapiens	AADAC
11733735_x_at	angio associated migratory cell protein(AAMP)	Homo sapiens	AAMP
11733734_a_at	angio associated migratory cell protein(AAMP)	Homo sapiens	AAMP
11744813_a_at	aralkylamine N-acetyltransferase(AANAT)	Homo sapiens	AANAT
11746316_a_at	alanyl-tRNA synthetase 1(AARS1)	Homo sapiens	AARS1
11716636_a_at	alanyl-tRNA synthetase 1(AARS1)	Homo sapiens	AARS1
11729298_a_at	SDE2 telomere maintenance homolog(SDE2)	Homo sapiens	SDE2
11729299_a_at	SDE2 telomere maintenance homolog(SDE2)	Homo sapiens	SDE2
11739130_a_at	4-aminobutyrate aminotransferase(ABAT)	Homo sapiens	ABAT
11736387_a_at	4-aminobutyrate aminotransferase(ABAT)	Homo sapiens	ABAT
11760079_at	ATP binding cassette subfamily A member 1(ABCA1)	Homo sapiens	ABCA1
11739502_a_at	ATP binding cassette subfamily A member 1(ABCA1)	Homo sapiens	ABCA1
11739503_at	ATP binding cassette subfamily A member 1(ABCA1)	Homo sapiens	ABCA1
11753416_a_at	ATP binding cassette subfamily A member 2(ABCA2)	Homo sapiens	ABCA2
11740139_s_at	ATP binding cassette subfamily A member 2(ABCA2)	Homo sapiens	ABCA2
11744856_a_at	ATP binding cassette subfamily A member 3(ABCA3)	Homo sapiens	ABCA3
11723351_a_at	ATP binding cassette subfamily A member 3(ABCA3)	Homo sapiens	ABCA3
11723350_a_at	ATP binding cassette subfamily A member 3(ABCA3)	Homo sapiens	ABCA3
11737897_a_at	ATP binding cassette subfamily B member 7(ABCB7)	Homo sapiens	ABCB7
11720959_a_at	ATP binding cassette subfamily F member 1(ABCF1)	Homo sapiens	ABCF1
200045_PM_at	ATP binding cassette subfamily F member 1(ABCF1)	Homo sapiens	ABCF1
11752075_a_at	ATP binding cassette subfamily A member 4(ABCA4)	Homo sapiens	ABCA4
11748209_a_at	ATP binding cassette subfamily A member 4(ABCA4)	Homo sapiens	ABCA4
11717175_a_at	ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)	Homo sapiens	ABL1
11740485_a_at	ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)	Homo sapiens	ABL1
11717174_a_at	ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)	Homo sapiens	ABL1
11757851_s_at	ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)	Homo sapiens	ABL1
11753316_a_at	potassium voltage-gated channel subfamily H member 8(KCNH8)	Homo sapiens	KCNH8
11734861_a_at	potassium voltage-gated channel subfamily H member 8(KCNH8)	Homo sapiens	KCNH8
11719962_s_at	amine oxidase copper containing 1(AOC1)	Homo sapiens	AOC1
11743675_x_at	ABL proto-oncogene 2, non-receptor tyrosine kinase(ABL2)	Homo sapiens	ABL2
11741745_a_at	ABL proto-oncogene 2, non-receptor tyrosine kinase(ABL2)	Homo sapiens	ABL2
11740840_a_at	ABL proto-oncogene 2, non-receptor tyrosine kinase(ABL2)	Homo sapiens	ABL2
11742113_a_at	ABL proto-oncogene 2, non-receptor tyrosine kinase(ABL2)	Homo sapiens	ABL2
11749352_a_at	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase(ABO)	Homo sapiens	ABO
11758096_s_at	ABR activator of RhoGEF and GTPase(ABR)	Homo sapiens	ABR
11716687_x_at	ABR activator of RhoGEF and GTPase(ABR)	Homo sapiens	ABR
11741077_x_at	ABR activator of RhoGEF and GTPase(ABR)	Homo sapiens	ABR
11716686_a_at	ABR activator of RhoGEF and GTPase(ABR)	Homo sapiens	ABR
11730542_x_at	acetyl-CoA acyltransferase 1(ACAA1)	Homo sapiens	ACAA1
11746655_a_at	acetyl-CoA acyltransferase 1(ACAA1)	Homo sapiens	ACAA1
11745823_a_at	acetyl-CoA acyltransferase 1(ACAA1)	Homo sapiens	ACAA1
11745824_x_at	acetyl-CoA acyltransferase 1(ACAA1)	Homo sapiens	ACAA1
11720921_s_at	acetyl-CoA acyltransferase 1(ACAA1)	Homo sapiens	ACAA1
11746656_x_at	acetyl-CoA acyltransferase 1(ACAA1)	Homo sapiens	ACAA1
