"probeID"	"GeneSymbol"
"11715100_at"	"HIST1H3G"
"11715101_s_at"	"HIST1H3G"
"11715102_x_at"	"HIST1H3G"
"11715103_x_at"	"TNFAIP8L1"
"11715104_s_at"	"OTOP2"
"11715105_at"	"C17orf78"
"11715106_x_at"	"CTAGE15"
"11715106_x_at"	"CTAGE6"
"11715107_s_at"	"F8A1"
"11715107_s_at"	"F8A2"
"11715107_s_at"	"F8A3"
"11715108_x_at"	"LINC01098"
"11715109_at"	"SAMD7"
"11715110_at"	"ARRDC5"
"11715111_s_at"	"CGB"
"11715111_s_at"	"CGB1"
"11715111_s_at"	"CGB2"
"11715111_s_at"	"CGB5"
"11715111_s_at"	"CGB7"
"11715111_s_at"	"CGB8"
"11715112_at"	"ERICH3"
"11715113_x_at"	"FAM86C1"
"11715114_x_at"	"FAM86C1"
"11715115_s_at"	"HIST1H2BI"
"11715116_s_at"	"HIST1H4E"
"11715117_x_at"	"HIST1H2AJ"
"11715118_s_at"	"HIST1H2BF"
"11715119_s_at"	"C2CD4B"
"11715120_s_at"	"HIST1H2BE"
"11715121_s_at"	"HIST1H3A"
"11715122_at"	"RAB3D"
"11715123_s_at"	"PDZD9"
"11715124_s_at"	"CACNG8"
"11715125_at"	"MORC2"
"11715126_s_at"	"HIST1H2BN"
"11715127_s_at"	"GPR32"
"11715128_s_at"	"PCDHGB5"
"11715129_s_at"	"ZNF600"
"11715130_s_at"	"KRTAP6-2"
"11715131_s_at"	"KRTAP20-1"
"11715132_x_at"	"HIST1H2BH"
"11715133_s_at"	"PCDHGA1"
"11715134_s_at"	"GLIPR1L2"
"11715135_s_at"	"SNAPC5"
"11715136_at"	"OR8U1"
"11715136_at"	"OR8U9"
"11715137_s_at"	"SSX2B"
"11715137_s_at"	"SSX7"
"11715138_s_at"	"CGB"
"11715138_s_at"	"CGB1"
"11715138_s_at"	"CGB2"
"11715138_s_at"	"CGB5"
"11715138_s_at"	"CGB7"
"11715138_s_at"	"CGB8"
"11715139_x_at"	"IFNA10"
"11715140_s_at"	"PCDHA13"
"11715141_s_at"	"PCDHGB3"
"11715142_s_at"	"GSC2"
"11715143_s_at"	"OR9Q2"
"11715144_s_at"	"KRTAP19-7"
"11715145_s_at"	"KRTAP20-2"
"11715146_x_at"	"SSX2B"
"11715146_x_at"	"SSX7"
"11715147_at"	"MAATS1"
"11715148_s_at"	"HIST2H2AB"
"11715149_x_at"	"HIST2H2AB"
"11715150_s_at"	"PCDHA4"
"11715151_x_at"	"PRB3"
"11715152_at"	"PCDHGB1"
"11715153_s_at"	"PCDHGB1"
"11715154_s_at"	"ZNF675"
"11715155_s_at"	"TUBB7P"
"11715155_s_at"	"TUBB8"
"11715155_s_at"	"TUBB8P7"
"11715155_s_at"	"TUBBP5"
"11715156_s_at"	"KRTAP6-1"
"11715157_s_at"	"KRTAP19-2"
"11715158_s_at"	"KRTAP19-4"
"11715159_at"	"SFT2D1"
"11715160_x_at"	"LOC650293"
"11715161_s_at"	"KRTAP21-2"
"11715162_s_at"	"HIST1H2AK"
"11715163_s_at"	"DEFB128"
"11715164_s_at"	"IGLL3P"
"11715165_at"	"DNAJC12"
"11715166_at"	"DNAJC12"
"11715167_at"	"ARHGAP22"
"11715168_s_at"	"POU3F3"
"11715169_at"	"PLEKHG2"
"11715170_x_at"	"HNRNPCL1"
"11715171_at"	"DEPDC5"
"11715172_at"	"DEPDC5"
"11715173_s_at"	"KRTAP10-12"
"11715174_s_at"	"KRTAP10-1"
"11715175_x_at"	"KRTAP10-3"
"11715176_at"	"TDRKH"
"11715177_s_at"	"TDRKH"
"11715178_s_at"	"OR2A14"
"11715179_s_at"	"KRTAP19-1"
"11715180_s_at"	"CGB1"
"11715180_s_at"	"CGB2"
"11715181_x_at"	"KRTAP10-9"
"11715182_x_at"	"FAM86C1"
"11715183_s_at"	"ZNF391"
"11715184_x_at"	"RPL38"
"11715185_x_at"	"PRB1"
"11715186_x_at"	"PRB1"
"11715187_x_at"	"PRB1"
"11715188_at"	"H3F3C"
"11715189_s_at"	"H3F3B"
"11715189_s_at"	"H3F3C"
"11715190_s_at"	"FAM221A"
"11715191_s_at"	"FAM221A"
"11715192_s_at"	"FAM221A"
