ID	gene_symbol	n
11715106_x_at	CTAGE15	2
11715106_x_at	CTAGE6	2
11715107_s_at	F8A1	3
11715107_s_at	F8A2	3
11715107_s_at	F8A3	3
11715111_s_at	CGB	6
11715111_s_at	CGB1	6
11715111_s_at	CGB2	6
11715111_s_at	CGB5	6
11715111_s_at	CGB7	6
11715111_s_at	CGB8	6
11715136_at	OR8U1	2
11715136_at	OR8U9	2
11715137_s_at	SSX2B	2
11715137_s_at	SSX7	2
11715155_s_at	TUBB7P	4
11715155_s_at	TUBB8	4
11715155_s_at	TUBB8P7	4
11715155_s_at	TUBBP5	4
11715198_s_at	DBET	22
11715198_s_at	DUX4	22
11715198_s_at	DUX4L1	22
11715198_s_at	DUX4L10	22
11715198_s_at	DUX4L11	22
11715198_s_at	DUX4L12	22
11715198_s_at	DUX4L13	22
11715198_s_at	DUX4L14	22
11715198_s_at	DUX4L15	22
11715198_s_at	DUX4L2	22
11715198_s_at	DUX4L20	22
11715198_s_at	DUX4L21	22
11715198_s_at	DUX4L22	22
11715198_s_at	DUX4L23	22
11715198_s_at	DUX4L24	22
11715198_s_at	DUX4L25	22
11715198_s_at	DUX4L3	22
11715198_s_at	DUX4L4	22
11715198_s_at	DUX4L5	22
11715198_s_at	DUX4L6	22
11715198_s_at	DUX4L7	22
11715198_s_at	DUX4L8	22
11715213_s_at	DUX1	3
11715213_s_at	DUX3	3
11715213_s_at	DUX5	3
11715237_s_at	RPL9	5
11715237_s_at	RPL9P25	5
11715237_s_at	RPL9P32	5
11715237_s_at	RPL9P7	5
11715237_s_at	TIPIN	5
11715253_s_at	KRTAP10-10	2
11715253_s_at	KRTAP10-6	2
11715254_s_at	DEFB134	2
11715254_s_at	LOC105379765	2
11715261_s_at	HNRNPCL2	3
11715261_s_at	HNRNPCL3	3
11715261_s_at	HNRNPCL4	3
11715268_s_at	GP1BB	3
11715268_s_at	SEPT5	3
11715268_s_at	SEPT5-GP1BB	3
11715311_s_at	DEFB103A	2
11715311_s_at	DEFB103B	2
11715324_s_at	LOC105371242	7
11715324_s_at	PPIAL4A	7
11715324_s_at	PPIAL4C	7
11715324_s_at	PPIAL4D	7
11715324_s_at	PPIAL4E	7
11715324_s_at	PPIAL4F	7
11715324_s_at	PPIAL4G	7
11715327_x_at	CBWD1	2
11715327_x_at	CBWD3	2
11715337_s_at	GH1	2
11715337_s_at	GH2	2
11715340_s_at	CT47A1	13
11715340_s_at	CT47A10	13
11715340_s_at	CT47A11	13
11715340_s_at	CT47A12	13
11715340_s_at	CT47A2	13
11715340_s_at	CT47A3	13
11715340_s_at	CT47A4	13
11715340_s_at	CT47A5	13
11715340_s_at	CT47A6	13
11715340_s_at	CT47A7	13
11715340_s_at	CT47A8	13
11715340_s_at	CT47A9	13
11715340_s_at	CT47B1	13
11715385_s_at	C4orf46	2
11715385_s_at	TOMM7	2
11715395_a_at	BLOC1S5-TXNDC5	2
11715395_a_at	TXNDC5	2
11715417_s_at	SKP1	2
11715417_s_at	SKP1P2	2
11715490_s_at	AMY1A	6
11715490_s_at	AMY1B	6
11715490_s_at	AMY1C	6
11715490_s_at	AMY2A	6
11715490_s_at	AMY2B	6
11715490_s_at	AMYP1	6
11715494_s_at	HBG1	2
11715494_s_at	HBG2	2
11715525_a_at	ATP6V1G2-DDX39B	2
11715525_a_at	DDX39B	2
11715560_s_at	PGA3	3
11715560_s_at	PGA4	3
11715560_s_at	PGA5	3
11715661_a_at	TMEM189-UBE2V1	2
11715661_a_at	UBE2V1	2
11715746_a_at	MINOS1-NBL1	2
11715746_a_at	NBL1	2
11715777_s_at	LUZP6	2
11715777_s_at	MTPN	2
11715779_a_at	HNRNPH2	2
11715779_a_at	RPL36A-HNRNPH2	2
11715849_a_at	APOLD1	2
11715849_a_at	DDX47	2
11715876_at	P2RX5-TAX1BP3	2
11715876_at	TAX1BP3	2
11716047_a_at	C21orf33	2
11716047_a_at	LOC102724023	2
11716136_s_at	COX7A2	2
11716136_s_at	TMEM30A	2
11716187_a_at	ABCB6	2
11716187_a_at	ATG9A	2
11716239_s_at	RAB6A	3
11716239_s_at	RAB6C	3
11716239_s_at	WTH3DI	3
11716342_s_at	LOC101060373	5
11716342_s_at	LOC102723728	5
11716342_s_at	NOMO1	5
11716342_s_at	NOMO2	5
11716342_s_at	NOMO3	5
11716350_a_at	HSPE1	2
11716350_a_at	HSPE1-MOB4	2
11716366_s_at	CELA3A	2
11716366_s_at	CELA3B	2
11716424_a_at	PCDHGA10	17
11716424_a_at	PCDHGA11	17
11716424_a_at	PCDHGA2	17
11716424_a_at	PCDHGA3	17
11716424_a_at	PCDHGA4	17
11716424_a_at	PCDHGA5	17
11716424_a_at	PCDHGA6	17
11716424_a_at	PCDHGA7	17
11716424_a_at	PCDHGA8	17
11716424_a_at	PCDHGA9	17
11716424_a_at	PCDHGB2	17
11716424_a_at	PCDHGB4	17
11716424_a_at	PCDHGB6	17
11716424_a_at	PCDHGB7	17
11716424_a_at	PCDHGC3	17
11716424_a_at	PCDHGC4	17
11716424_a_at	PCDHGC5	17
11716445_s_at	COMMD4	4
11716445_s_at	LOC440292	4
11716445_s_at	LOC646670	4
11716445_s_at	LOC732265	4
11716668_at	RAB1A	2
11716668_at	RAB1B	2
11716671_x_at	PIGY	2
