"gene_symbol" "logFC" "adj.P.Val" "entrez_gene"
"HLA-DQA1" 5.14811702375608 4.0647816831315e-08 "3117"
"HLA-DQA2" 5.14811702375608 4.0647816831315e-08 "3118"
"ADGRF1" 3.87424181561624 0.0332448013802809 "266977"
"H6PD" 3.56233179329043 4.0647816831315e-08 "9563"
"IGHG1" 2.55200288856933 0.0471461015900937 "3500"
"IGHM" 2.55200288856933 0.0471461015900937 "3507"
"IGHV1-69" 2.55200288856933 0.0471461015900937 "28458"
"IGHV1-69-2" 2.55200288856933 0.0471461015900937 "28461"
"MCTP1" 2.29863734227655 0.043747211031225 "79772"
"LPGAT1" 2.20652627731698 0.0229293483594507 "9926"
"NFIA" 2.1689149816886 0.0416747940111108 "4774"
"EIF2A" 2.09395987507357 9.23270376319015e-06 "83939"
"SUB1" 1.91306809174393 0.0336503533058668 "10923"
"APPL2" 1.89947832593544 0.0411749626006448 "55198"
"PAPSS2" 1.87941515771493 0.0411749626006448 "9060"
"CPEB4" 1.59947164627909 0.0480382990331696 "80315"
"RRP7A" 1.54189088652007 0.0416747940111108 "27341"
"ACVRL1" 1.53043339456042 0.00713583318825531 "94"
"MRPL43" 1.52241463546374 0.0411749626006448 "84545"
"KIAA0040" 1.44323865075831 0.0416747940111108 "9674"
"CRIPAK" 1.3897867114367 0.00537053070965013 "285464"
"ERC1" 1.36273549535892 0.0332448013802809 "23085"
"KIAA0319" 1.27826917804145 0.0416747940111108 "9856"
"VPS37B" 1.26955334198605 0.0167085256331736 "79720"
"IL6ST" 1.24249450521644 0.0448203228071809 "3572"
"TSC22D4" 1.1765803294501 0.0254904494225055 "81628"
"SOS1" 1.11716801687912 0.0133326508538751 "6654"
"GSPT1" 1.05434427047576 0.0373342338786605 "2935"
"PXN" 1.02747038607077 0.0395724207967853 "5829"
"KLHDC4" 1.02723099204402 0.0336503533058668 "54758"
"LOC105371397" 1.02723099204402 0.0336503533058668 "105371397"
"FAM129C" -0.567418141630767 0.0416747940111108 "199786"
"FAAP20" -0.837744099243077 0.0332448013802809 "199990"
"ADRA1D" -0.866252955990547 0.00414638630510401 "146"
"MLXIPL" -0.884101990278652 0.0393805647623316 "51085"
"WNT16" -0.958556217469293 0.0385753851255373 "51384"
"FAHD1" -1.04656307313268 0.0471461015900937 "81889"
"CAMKV" -1.07975148297947 0.00428799408511368 "79012"
"PIGP" -1.15014774329025 0.0174426799314489 "51227"
"DNAJC30" -1.15086059263243 0.0416747940111108 "84277"
"WBSCR27" -1.15231037226406 0.0443838991429335 "155368"
"ORMDL1" -1.15902254660901 0.0336503533058668 "94101"
"EIF4EBP1" -1.2018053994639 0.0452080037029628 "1978"
"ATP5F1" -1.21299481095397 0.0332448013802809 "515"
"WDYHV1" -1.27948520471652 0.00537053070965013 "55093"
"SLCO1A2" -1.28793243981279 0.0448203228071809 "6579"
"TMEM60" -1.29129054599546 0.0452080037029628 "85025"
"ENY2" -1.32898449291772 0.0102638726548092 "56943"
"SHROOM2" -1.33610264116418 0.0393805647623316 "357"
"SCN2A" -1.3376858539743 0.0395724207967853 "6326"
"TMEM261" -1.36490731499867 0.0471461015900937 "90871"
"ZNF572" -1.40386592331787 0.00428799408511368 "137209"
"GSTZ1" -1.51163977972375 0.0480382990331696 "2954"
"NUMA1" -1.52625521627653 0.00196934934258637 "4926"
"TAF9B" -1.5839490528401 0.0332448013802809 "51616"
"COPG2" -1.6204405896606 0.013492613343261 "26958"
"SLF1" -1.81499594526667 0.00234147440889434 "84250"
"LAPTM4B" -1.82142270330665 0.0452080037029628 "55353"
"TRMT12" -1.83862476634057 0.0184475901318109 "55039"
"ERV3-1" -1.90770373892804 0.0489440232230052 "2086"
"ZNF117" -1.90770373892804 0.0489440232230052 "51351"
"EPB41L5" -2.0205244358549 0.0432473549757462 "57669"
"NIPAL2" -2.07167697948062 0.0336503533058668 "79815"
"MSX1" -2.38486578211248 0.0230941896160204 "4487"
"HLA-DRB5" -2.41162181635218 0.0133326508538751 "3127"
"ZNF506" -2.59937845314776 0.00229349663153837 "440515"
"NPIPB6" -2.94346981035898 0.0393805647623316 "728741"
"CT45A10" -3.03644210076557 0.0443838991429335 "441521"
"CT45A5" -3.03644210076557 0.0443838991429335 "102723631"
"NEUROD1" -3.27217567294632 0.0416747940111108 "4760"
"HLA-DPB1" -4.53231036943111 4.0647816831315e-08 "3115"
