gene_symbol	logFC
MAGEA3	2.669184802105435
MAGEA6	2.669184802105435
HMGCS2	2.106786366987658
XIST	1.9623211897761532
PCSK1	1.8571058238556581
ITLN1	1.703994196245107
CLCA1	1.6895769918966885
FCGBP	1.6551380872127521
PLA2G2A	1.6452469994819872
HEPACAM2	1.641067020378306
TACSTD2	1.629199534523189
SPINK4	1.5942711462297066
SOSTDC1	1.5749691476023493
STMN2	1.5546216021238006
SLC4A4	1.5500683691024475
ADH1A	1.5270584568347059
ADH1B	1.5270584568347059
ADH1C	1.5270584568347059
GRB14	1.4399037991912778
REG1A	1.4367873856214644
FRZB	1.3833617099741957
NPNT	1.372385079226767
GNG4	1.3163112335494784
GHR	1.3010424581181352
FABP1	1.2849681082080462
PRDM10	1.2849681082080462
PCDH19	1.2700716404785668
CPE	1.2484034822004357
LYPD6B	1.247631924499152
ST6GAL2	1.2214079436002196
ADAMDEC1	1.2134907988440045
ALDH1A1	1.2097943785793532
REG4	1.2080609677285263
CHGA	1.1937199332872401
NXPE4	1.1913332136831207
L1TD1	1.1812468836734913
MAGEA2	1.158805554597591
MAGEA2B	1.158805554597591
SDR16C5	1.1465943798120346
PLAC8	1.1446082876824866
PLAG1	1.1261879978341602
NMU	1.1250042189541247
GRP	1.1223773957183232
BEX4	1.117328590380973
HSD17B2	1.1108389000766876
ZG16	1.1101276971002147
C12orf56	1.08939443339202
AKR1C4	1.06534288399887
PUDP	1.0534135017294801
DCDC2	1.0504331850682425
KIAA1324L	1.0453539932327174
AGR3	1.0428266561309805
SI	1.03580670622984
SFTA2	1.0327620907906168
RBP4	1.0302033122133212
REG3A	1.0233740281607862
IGFBP2	1.021869641095297
PLN	1.0158282623503467
KL	1.0157030916891037
B3GNT7	1.0105159138906714
NTS	1.0084461078951446
PCCA	1.0033033460302256
WNT11	1.0023486751169797
SULT1C2	-1.01062790789645
COL10A1	-1.0362271781489767
MMP3	-1.0447598467000638
C2CD4A	-1.0520920294861957
PI15	-1.0837125484940557
CXCL6	-1.1280571256828154
LOC100190940	-1.2082033367898521
KIF26A	-1.2436828308225598
RNF182	-1.2692910335324745
WT1	-1.2824926551469904
NOX1	-1.3082675448887606
IL33	-1.3291763236774923
EIF1AY	-1.351527195382405
CCL18	-1.4128143774653523
RPS4Y1	-1.4582354311208165
DDX3Y	-1.4933208644432545
CAPN8	-1.5358892061217988
MAGEA11	-1.8683127727197453
PTPRO	-2.5493170243350427
