gene_symbol	ID	logFC
MAGEA3	11726339_s_at	2.695120630963066
MAGEA6	11726339_s_at	2.695120630963066
HMGCS2	11720533_a_at	2.1301850003644627
ADH1C	11730779_at	2.0513180625459673
ADH1C	11730780_x_at	1.9910357045820795
XIST	11757733_s_at	1.9885371037031057
PCSK1	11736339_a_at	1.8403606278056213
PLA2G2A	11718416_a_at	1.7458945533476502
CLCA1	11728746_a_at	1.6788304235925007
ITLN1	11723027_at	1.669450295126107
TACSTD2	11717301_at	1.6637276544325479
STMN2	11758790_a_at	1.6419146151958244
FCGBP	11716486_at	1.6364268827920396
PLA2G2A	11757057_x_at	1.6312695214737776
FABP1	11723040_a_at	1.6253878386955076
HEPACAM2	11728821_a_at	1.6245774863094853
SOSTDC1	11754380_a_at	1.5885165084095672
ADH1B	11747167_x_at	1.5757756591275922
SPINK4	11741453_at	1.561253275103267
STMN2	11717825_a_at	1.5487462859554935
SLC4A4	11717820_a_at	1.5328033322399226
ADH1A	11722994_s_at	1.5140009407857704
ADH1B	11722994_s_at	1.5140009407857704
ADH1C	11722994_s_at	1.5140009407857704
FABP1	11758878_x_at	1.477330826996642
XIST	11757857_s_at	1.4627547895734985
PLA2G2A	11754033_a_at	1.4564309046636215
GRB14	11723586_a_at	1.4426612227217426
FREM2	11735084_s_at	1.4178317607570494
ADH1B	11746898_x_at	1.413373594024038
REG1A	11715386_at	1.4044816824345183
ADAMDEC1	11750825_a_at	1.3852952168488084
NPNT	11718435_a_at	1.3846682170768645
FRZB	11720326_a_at	1.380595326695075
STMN2	11717826_x_at	1.3732517895839673
HEPACAM2	11750918_a_at	1.3625648255086724
GNG4	11753860_a_at	1.3155339099904884
ALDH1A1	11743044_a_at	1.3127821885167057
GNG4	11726228_x_at	1.312643664172048
XIST	11754194_s_at	1.3119973302039725
GHR	11728055_at	1.30352136902426
GNG4	11725128_a_at	1.2983786420308943
FABP1	11723041_s_at	1.2936690846496877
PRDM10	11723041_s_at	1.2936690846496877
NMU	11728376_s_at	1.277509839305604
ADAMDEC1	11750826_x_at	1.2701470643100325
PCDH19	11745374_a_at	1.2684391844805623
MAGEA2	11731297_x_at	1.2513744003802598
MAGEA2B	11731297_x_at	1.2513744003802598
LYPD6B	11744596_a_at	1.2502078773919427
ADAMDEC1	11729110_s_at	1.2475370573844238
DNAJC15	11743049_at	1.24317605517866
CPE	11743577_s_at	1.2429945782497054
PLAG1	11741638_a_at	1.2416151231609678
ADAMDEC1	11751267_a_at	1.234526618473442
ST6GAL2	11724383_at	1.2323086077512848
CPE	11743576_at	1.2166601061922862
ALDH1A1	11752548_a_at	1.2112493465099483
ADAMDEC1	11729111_x_at	1.2107748999263048
SYNPO2	11721602_a_at	1.2049734766015021
L1TD1	11723364_at	1.2018736020736323
REG4	11746772_a_at	1.1857306363197422
NXPE4	11741986_a_at	1.1853549836183328
HLA-DPB1	11758369_x_at	1.1792372916088398
CHGA	11723302_a_at	1.170425410820651
MAGEA2	11749283_x_at	1.1636167888874827
MAGEA2B	11749283_x_at	1.1636167888874827
DKK2	11728088_at	1.1595373242283369
ALDH1A1	11752549_x_at	1.1579012436898068
PLAG1	11736801_a_at	1.1427863417241644
VSIG2	11754421_a_at	1.1365015659042275
PLAC8	11755748_s_at	1.131526991947652
NMU	11728377_x_at	1.1312668531392447
ADH1B	11722995_at	1.1247200132924244
SDR16C5	11754879_a_at	1.1230782996034927
BEX4	11718588_a_at	1.1216427350123546
GRP	11756874_a_at	1.1206730114981696
HSD17B2	11744099_a_at	1.1094707245788844
MAGEA2	11749282_a_at	1.1073833523637733
MAGEA2B	11749282_a_at	1.1073833523637733
C12orf56	11735608_s_at	1.1072412173780766
C12orf56	11735607_a_at	1.103960368642756
TKTL1	11726242_a_at	1.0970532203569734
ADH1B	11746322_x_at	1.086837675955092
ZG16	11722059_at	1.0776130187425355
CLDN18	11722312_a_at	1.0723611809596294
KIAA1324L	11741802_a_at	1.061442999716339
AGR3	11723524_at	1.0603787865267318
PUDP	11719628_a_at	1.0586325830764398
AKR1C4	11731677_at	1.0553188185350697
SLC44A5	11733491_a_at	1.0548317495577817
DCDC2	11729039_at	1.0524623437324676
JCHAIN	11735989_s_at	1.0517782162436884
PUDP	11751354_a_at	1.0428740149070217
REG4	11744279_a_at	1.0415053960973406
GSTA1	11724219_x_at	1.0406216068183762
KCTD12	11715948_at	1.0395462563970117
NXPE4	11740645_a_at	1.0387186940893325
IGFBP2	11722583_a_at	1.0361060510669957
RBP4	11718132_at	1.034718583525028
SFTA2	11733543_at	1.0328492112882124
PHGDH	11728203_a_at	1.0265585757541924
PCK1	11726273_a_at	1.0252497797212465
SI	11731688_at	1.0167580734643145
KL	11757777_s_at	1.0129587065634835
PLN	11723645_at	1.0122852752589981
NTS	11719684_a_at	1.0114489524179042
SLC44A5	11733492_s_at	1.0082264188672498
IGF1	11729818_s_at	1.0081283918640285
DSC3	11754838_a_at	1.0078040987820274
DSC3	11743835_a_at	1.0014396784395339
WNT11	11763605_a_at	1.001141092980097
SULT1C2	11725597_a_at	-1.0011428640808946
MMP1	11741897_a_at	-1.0015472022825698
COL10A1	11735218_at	-1.0161177920215145
AAK1	11736633_at	-1.0176184270354467
CXCL13	11720161_at	-1.0209069215157438
MMP3	11723635_s_at	-1.0274061734082238
C2CD4A	11731015_at	-1.0597419072342946
PI15	11725585_at	-1.0762287595193953
APOLD1	11719883_a_at	-1.0783931304088412
MYEF2	11754279_a_at	-1.1052399893253075
NA	11759866_at	-1.1118299094414281
CXCL6	11730801_at	-1.1236381452656907
MYEF2	11727996_a_at	-1.1658768054524549
FAM118A	11746669_a_at	-1.1730494718101063
FAM118A	11720023_a_at	-1.186163162270499
LOC100190940	11757199_at	-1.206196948695628
