gene_symbol	logFC
ESM1	2.7204327083862188
COL10A1	1.5251834078141329
IL6	1.509453631087215
CYR61	1.491608614948742
IL11	1.477062686764027
MMP10	1.4541192841170059
MMP3	1.3838348805148932
ADAMTS4	1.3837530448755295
ANGPT2	1.3617099264223622
INHBA	1.3248640964068397
BMP8A	1.2851572095587205
STC1	1.231331728754446
C11orf96	1.1742684174265374
ENPEP	1.1670126522431854
ITGA1	1.1394457357080974
SERPINE1	1.1286708804213283
ADGRF5	1.1265907261784829
MMP1	1.1263173862259244
NR4A3	1.1262997993028563
COL4A1	1.1167139316900592
ACKR3	1.111884225032112
CXCL8	1.110085131434822
COCH	1.0834654158497186
MAP1B	1.0806491307600687
CA2	1.0736232118380222
TESC	1.0648242343600938
IL24	1.0599574432478995
PTGS2	1.0485915572798667
ANO1	1.0412522408117297
SLC6A14	1.0324015238074224
PDGFA	1.0321312940706227
IBSP	1.0235802578408792
MT1M	-1.0031661760864603
TNFRSF17	-1.0169168300701061
IGK	-1.017434164374933
IGKC	-1.017434164374933
IGKV1-5	-1.017434164374933
IGKV2-24	-1.017434164374933
HEPACAM2	-1.0249863764972742
PLA2G2A	-1.0421233197806394
IGH	-1.0625187729781258
IGHA1	-1.0625187729781258
IGHA2	-1.0625187729781258
DEFA5	-1.0683424127888035
IGHG2	-1.0792191786129326
FCGBP	-1.0828256964695684
IGHM	-1.085362094569998
GCG	-1.085835628983669
MS4A1	-1.100719207098245
JCHAIN	-1.1403292446526798
IGKV1-12	-1.159680182451381
IGKV1D-12	-1.159680182451381
IGKV3-20	-1.1936134711309876
IGKV3D-20	-1.1936134711309876
IGLL3P	-1.196964792892481
IGKV2-28	-1.2492558997109393
IGKV2D-28	-1.2492558997109393
LGALS2	-1.3020053158764204
ITLN1	-1.3234570080204886
CCL11	-1.3342275511644601
CLC	-1.3463748771089445
IGKV1-16	-1.3503096570201123
IGKV1D-16	-1.3503096570201123
IGKV1D-17	-1.3503096570201123
IGKV3-11	-1.4475879799988265
IGKV3D-11	-1.4475879799988265
REG1A	-1.4790170202205957
SPINK4	-1.5346052985476444
CLCA1	-1.6076604483851562
IGLL5	-1.6631901921882042
IGLV1-36	-1.6631901921882042
IGLV1-44	-1.6631901921882042
IGLV1-47	-1.6631901921882042
REG1B	-1.7010977119184503
REG3A	-1.703946076141893
