gene_symbol	ID	logFC
ESM1	11729647_s_at	3.7622074367826004
ESM1	11741353_a_at	2.704372207327526
IL6	11746463_a_at	1.4971767855133393
COL10A1	11735218_at	1.492644635456319
ANGPT2	11742028_a_at	1.4839131118296862
CYR61	11715493_a_at	1.4780136128431458
IL11	11727690_at	1.4668905498423133
MMP10	11727906_at	1.4371446616108159
ADAMTS4	11730923_x_at	1.374450810734558
MMP3	11723635_s_at	1.371011146031318
ANGPT2	11728245_a_at	1.3505293019416822
INHBA	11746931_a_at	1.317285095074622
ANGPT2	11742027_a_at	1.3154518448446115
BMP8A	11728176_a_at	1.2738127213870793
MMP1	11741897_a_at	1.2726953649274222
STC1	11724197_at	1.267436140984124
CXCL8	11754026_a_at	1.2290115926643992
STC1	11724196_s_at	1.2225241014108441
CXCL8	11763226_x_at	1.2109555612071077
INHBA	11731496_at	1.193577680168037
COL4A1	11716639_a_at	1.1911708384138109
FN1	11739536_x_at	1.1860653716276577
PTGS2	11724038_a_at	1.174903071818381
ENPEP	11758509_s_at	1.165513466409248
C11orf96	11719899_at	1.1618274943020772
THBS1	11758842_at	1.155916916681706
CYR61	11749905_a_at	1.1502344704072378
ADGRF5	11742861_x_at	1.1502023028234802
ITGA1	11737127_a_at	1.1359127779458333
FN1	11739535_s_at	1.134047344579944
FN1	11739534_a_at	1.1290653106758999
FN1	11749460_x_at	1.1281152123321263
ADGRF5	11741561_a_at	1.1239058497361327
CREB5	11722970_a_at	1.1237624208408334
NR4A3	11729058_s_at	1.1228719725755703
SERPINE1	11757312_x_at	1.1211046723482578
GDF15	11716665_s_at	1.1143525064656536
SLC6A14	11732566_at	1.1138873011536194
MMP1	11755928_s_at	1.112724792427528
ADGRF5	11742862_a_at	1.1123288176002486
CXCL5	11728717_at	1.1107083418072854
FN1	11745837_x_at	1.1105044393098176
COL4A1	11716638_s_at	1.1095802393400511
ACKR3	11722598_s_at	1.107057810840086
PTGS2	11724036_a_at	1.1033438995297669
CXCL8	11718841_s_at	1.0933801912060908
COCH	11722821_a_at	1.0846575324233658
CA2	11733115_a_at	1.0785553979055091
MAP1B	11744047_a_at	1.0776623633911449
TESC	11720372_at	1.069369718957308
IL24	11731834_a_at	1.049051925999212
ANO1	11723829_s_at	1.0329436619606778
PTGS2	11724037_at	1.0323557964279644
PDGFA	11729062_a_at	1.0320752788692662
IBSP	11724065_at	1.0213424594449245
SLC6A14	11732565_at	1.0132399674382988
TNFRSF17	11751841_a_at	-1.003170128311492
CYP1B1	11720411_s_at	-1.009347160279269
MAOA	11745923_x_at	-1.0112387405453278
IGK	11763550_x_at	-1.014174009146851
IGKC	11763550_x_at	-1.014174009146851
IGKV1-5	11763550_x_at	-1.014174009146851
IGKV2-24	11763550_x_at	-1.014174009146851
HEPACAM2	11728821_a_at	-1.0361127024113566
DEFA5	11728641_at	-1.0402159925805385
PLA2G2A	11757057_x_at	-1.0433029649607874
MAOA	11755443_a_at	-1.0462762812742161
IGH	11764130_s_at	-1.0555318479700713
IGHA1	11764130_s_at	-1.0555318479700713
IGHA2	11764130_s_at	-1.0555318479700713
IGHG1	11754032_x_at	-1.0757072015534863
IGHG2	11754032_x_at	-1.0757072015534863
IGHG3	11754032_x_at	-1.0757072015534863
IGHM	11754032_x_at	-1.0757072015534863
IGHV4-31	11754032_x_at	-1.0757072015534863
FCGBP	11716486_at	-1.0802142929867085
IGHG1	11759852_x_at	-1.0810772602503924
IGHG3	11759852_x_at	-1.0810772602503924
IGHM	11759852_x_at	-1.0810772602503924
IGHV4-31	11759852_x_at	-1.0810772602503924
GCG	11742762_at	-1.0841398623810239
MS4A1	11755858_a_at	-1.0843791382097274
