gene_symbol	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
ESM1	11729647_s_at	3.7622074367826004	5.287043130527987	11.128680619809437	5.7303783840651236e-12	1.4259581522552052e-7	14.071852396812798
ESM1	11741353_a_at	2.704372207327526	6.209998625861594	11.12513269037275	5.7736943101739256e-12	1.4259581522552052e-7	14.066850546113436
ANGPT2	11742028_a_at	1.4839131118296862	6.395581774116765	6.768072591802595	2.0137421390531677e-7	0.0019893758591706242	6.351988339853913
ADAMTS4	11730923_x_at	1.374450810734558	7.166937357071803	5.148901027111817	1.6898663820915544e-5	0.04386159286809148	2.721137441412062
ANGPT2	11728245_a_at	1.3505293019416822	6.4015298858966645	5.945759586095363	1.868901256681295e-6	0.010257153063752507	4.545334569926671
COL4A1	11716639_a_at	1.1911708384138109	8.94269507525958	5.1134242861919965	1.8647503800585505e-5	0.04386159286809148	2.638820074826554
ADGRF5	11742861_x_at	1.1502023028234802	6.197491311624122	5.514336436100258	6.1364314834330864e-6	0.027555366647652478	3.5644996228188868
ITGA1	11737127_a_at	1.1359127779458333	6.284530831719532	7.0415793366352135	9.738410629412598e-8	0.0016034293101327842	6.931028700224926
COL4A1	11716638_s_at	1.1095802393400511	11.149091608177713	5.351226782232857	9.640364202382536e-6	0.03174571931844569	3.189221721694943
ACKR3	11722598_s_at	1.107057810840086	8.079246549525237	5.3875593194762645	8.71691286119148e-6	0.03174571931844569	3.2729917564043634
MAP1B	11744047_a_at	1.0776623633911449	6.411916161461206	5.427360962239558	7.806857492026584e-6	0.03174571931844569	3.3646475463531376
IER3	11720062_s_at	0.9569981246624355	11.589189462609628	5.137156950407826	1.745861285914463e-5	0.04386159286809148	2.693894416911532
MCAM	11724459_x_at	0.9348028644343636	7.347830732606056	6.507023917474893	4.057865249221386e-7	0.002863403628361291	5.788644466654948
S1PR3	11725905_a_at	0.9345685175009599	6.010579364038566	5.211302674428544	1.4211466895596102e-5	0.043190770057309515	2.865768503550444
GJC1	11754438_x_at	0.9232832770780242	6.848811986108234	5.118758341117087	1.837342281845447e-5	0.04386159286809148	2.6512007631670995
CCDC3	11717885_a_at	0.9078998622206527	7.503221798309169	6.652465511664254	2.74408936748545e-7	0.002259071571782397	6.1037590727488515
COL13A1	11730533_a_at	0.8201911442225347	5.582840211531732	6.865350345252314	1.5537601587481476e-7	0.0019186995760341187	6.559278390231053
ACKR3	11722597_a_at	0.8165007776269251	6.541108699677564	6.057102563513666	1.3776440522881783e-6	0.008506090995346821	4.795189004797433
COL4A2	11715453_a_at	0.8063462683650542	7.397035422774841	5.195107655736451	1.486472499188707e-5	0.043190770057309515	2.8282533025844208
MCAM	11724460_a_at	0.6814039629107365	5.383825207402571	5.838828378574812	2.5068747872661905e-6	0.012382708011701347	4.304029311782304
KCNE5	11727316_at	-0.2920612455341933	5.4111132888363676	-5.072440953995142	2.089447899718323e-5	0.04691285409390298	2.543650642476348
PCDHA7	11715227_s_at	-0.3531917307496917	4.756830879611279	-5.368249813553759	9.196065762020585e-6	0.03174571931844569	3.228482784108267
