gene_symbol	logFC
HMGCS2	2.1507481339349663
XIST	2.143334107692267
KRT23	1.9992261315665782
SOX8	1.9187942321738536
TACSTD2	1.8087241551868933
GRB14	1.7715180351225968
STMN2	1.6332043796497815
UGT2B15	1.587144481796832
HBA1	1.543940729642589
HBA2	1.543940729642589
WNT11	1.529545981632964
SAMD5	1.5120484981040452
ADGRG6	1.4838661275807805
SFTA2	1.4720940118421701
MAGEA3	1.4584861987409319
MAGEA6	1.4584861987409319
APOA2	1.4501205675155524
AGR3	1.3756384431555126
DSG3	1.361433564752275
NPNT	1.348135247100136
PLN	1.3335519748945437
PPBP	1.3211079898930898
FRAS1	1.3132156361274507
NMNAT2	1.3047452989886024
NTS	1.2969648365657243
HBB	1.2949580477127078
ACTG2	1.293127846152652
PROM1	1.279564363530218
CPE	1.2660888702863922
IGFBP2	1.238865685780985
DPEP1	1.22992076196262
CES1	1.224943464096783
CES1P1	1.224943464096783
MUC17	1.2064021968797078
CNN1	1.1978125914999982
KRT17	1.1746697686604097
SERPINA3	1.1607160778746124
BAMBI	1.158758483564431
SLCO4A1-AS1	1.1346330434172955
RGCC	1.1336009112148044
PRAME	1.1319218778726592
SLC44A5	1.1251214910855776
LYPD8	1.1190495499829929
S100A4	1.1187884734356661
BST1	1.110643498573598
WIF1	1.0913448352327582
PVRL4	1.086616655610773
TESC	1.077172592223711
CTSE	1.06841205215839
PPP1R14A	1.0662440050861512
REG4	1.0407431607005453
ALDH1A1	1.0323371164573132
CHRM3	1.0305390247444048
NPTX2	1.0276708908217724
NMU	1.027581177114751
DEFB1	1.0269678010013656
SOSTDC1	1.024832077457095
BEX4	1.0150023239672343
AKR1C3	1.0055255756360175
CA2	1.0051296866182966
SEMA3D	1.002637425769727
FAM3B	-1.0243468499181065
CCND2	-1.0247918772431586
RSAD2	-1.0359145387815687
AIM2	-1.0399080030000878
MAP7D2	-1.0708461380058414
RGMB	-1.0857628932169217
PTPRD	-1.090419865131226
MT1JP	-1.1014281215967254
MT1P3	-1.1014281215967254
CA9	-1.101601386857201
GZMA	-1.1026111791941036
IGKV3-20	-1.12181344855445
IGKV3D-20	-1.12181344855445
LOC100190940	-1.1276341180041003
CXCL10	-1.1706665872900288
SYT13	-1.2059726948232434
MT1H	-1.210457977105218
GABBR1	-1.2404668888456776
UBD	-1.2404668888456776
PIWIL1	-1.2543098744773622
GPCPD1	-1.2553170664430455
MT1M	-1.2566326630994062
RPS4Y1	-1.2866173532138925
IGKV1-12	-1.308379721286113
IGKV1D-12	-1.308379721286113
FABP6	-1.3099528688524051
CXCL11	-1.3753556791597337
KIF26A	-1.405359576540358
REG3A	-1.4200143242688537
C2CD4A	-1.4832157375735031
DDX3Y	-1.5384086965510164
IL33	-1.5652929929041157
ORM1	-1.59996555142789
EIF1AY	-1.6448717828530872
PIGR	-1.674454377627745
NOX1	-1.7419587031584207
CKMT2	-1.7628130990622046
WT1	-1.8096813573835866
MAGEA11	-1.9775496156814782
PTPRO	-2.719717439916228
