gene_symbol	ID	logFC
XIST	11757733_s_at	2.145080180243612
HMGCS2	11720533_a_at	2.1363313143024607
KRT23	11744424_a_at	2.02269329098933
SOX8	11721911_at	1.9217116151977836
TACSTD2	11717301_at	1.8229675362572015
XIST	11754194_s_at	1.7900803852518932
GRB14	11723586_a_at	1.7749579147691552
CBS	11744286_s_at	1.7122496558351976
CBSL	11744286_s_at	1.7122496558351976
XIST	11757857_s_at	1.657251881746082
STMN2	11717825_a_at	1.634942706477787
UGT2B15	11741266_x_at	1.5588878490168665
CBS	11744835_s_at	1.5472539267358139
CBSL	11744835_s_at	1.5472539267358139
HBA1	11754267_x_at	1.5456289625047495
HBA2	11754267_x_at	1.5456289625047495
APOA2	11718034_a_at	1.5374139751370803
SAMD5	11726174_at	1.522785300028568
ADGRG6	11725191_s_at	1.5123346853133715
WNT11	11763605_a_at	1.504580630270505
STMN2	11758790_a_at	1.5029877229290038
HBB	11753712_x_at	1.4957130888037273
SCARA5	11727780_a_at	1.4865996421448218
SFTA2	11733543_at	1.4855820644389217
APOA2	11753839_x_at	1.4718676879262635
DNAJC15	11743049_at	1.4652832872082673
APOA2	11757667_x_at	1.4526747897049757
UGT2B15	11741265_s_at	1.4255540266265136
FREM2	11735084_s_at	1.4195590186735627
MAGEA3	11726339_s_at	1.4112419253098816
MAGEA6	11726339_s_at	1.4112419253098816
WNT11	11732464_a_at	1.3980548841796079
PPBP	11743087_at	1.3667171681594859
DSG3	11728833_at	1.363498395682507
AGR3	11723524_at	1.3593731818497243
SERPINA3	11716490_a_at	1.3472622964792933
NPNT	11718435_a_at	1.3457551698657966
PLN	11723645_at	1.3442806489059826
DSG3	11728832_at	1.333510859049797
HBB	11715348_x_at	1.3119208680692012
FRAS1	11723177_at	1.3059406954744417
NMNAT2	11728253_a_at	1.3055941453821527
NTS	11719684_a_at	1.3002778708216134
HBB	11715347_s_at	1.2996606658731196
ACTG2	11715793_a_at	1.2986896695972519
STMN2	11717826_x_at	1.2877963314982064
ACTG2	11748016_a_at	1.2798303530368518
PROM1	11754354_s_at	1.2743416375183898
CPE	11743577_s_at	1.2719839521469307
IGFBP2	11722583_a_at	1.2590891756853284
CES1	11721638_s_at	1.2482292365600935
CES1P1	11721638_s_at	1.2482292365600935
SCEL	11734853_x_at	1.2338471030433658
DPEP1	11756343_a_at	1.2334259596421147
KRT6A	11742954_a_at	1.214418039095479
CLDN10	11739761_a_at	1.2125771542917905
MUC17	11736372_at	1.2043620542087945
CNN1	11734311_s_at	1.2015240526355413
ADGRG6	11725190_a_at	1.197738664183241
PHGDH	11728203_a_at	1.197496001056912
ADGRG6	11729550_a_at	1.1915902686385706
KRT17	11715280_s_at	1.1905423185961954
PLN	11723644_a_at	1.183509209669694
NMU	11728376_s_at	1.169141014612455
SYNPO2	11721602_a_at	1.150049102626876
ERLIN2	11745025_a_at	1.147123643204238
CPE	11743576_at	1.1431731495559863
SLCO4A1-AS1	11757046_a_at	1.1415397082120489
SERPINA3	11716491_s_at	1.141259265994746
BAMBI	11756509_a_at	1.1411411905723403
ERLIN2	11735260_s_at	1.13828652384176
KRT6A	11742955_x_at	1.1356337097508824
BST1	11729846_a_at	1.1310687009248426
TKTL1	11726242_a_at	1.1295705353633236
SLC44A5	11733492_s_at	1.127944916822758
S100A4	11756146_x_at	1.1245180981690375
RGCC	11717582_a_at	1.1205577640508615
PRAME	11717271_a_at	1.1159628595533562
NMNAT2	11742025_a_at	1.1074498896795975
FABP1	11723040_a_at	1.104268865316019
SLC16A4	11749023_a_at	1.1010712223207424
LYPD8	11729538_at	1.094718107945572
CTSE	11743162_a_at	1.0909044925963833
SLC44A5	11733491_a_at	1.0811861063116353
WIF1	11742807_a_at	1.0805775396862267
PVRL4	11728764_a_at	1.0777328608529313
ERLIN2	11741587_x_at	1.0764398718923767
MAGEA2	11731297_x_at	1.0763068292743698
MAGEA2B	11731297_x_at	1.0763068292743698
TESC	11720372_at	1.0706360198942377
S100A4	11718064_a_at	1.0656873565743368
S100A4	11723006_a_at	1.0653323499591831
