gene_symbol	logFC
ESM1	1.9395034813668968
CXCL9	1.5499253411257934
CXCL10	1.3977226568608616
PIGR	1.3618550300915553
FRZB	1.2806890826929123
CXCL11	1.2122185415696727
ROBO2	1.1985677242141226
MS4A12	1.1720158775345695
MAGEA3	1.1700507131510043
MAGEA6	1.1700507131510043
IGKV3-20	1.126070183437335
IGKV3D-20	1.126070183437335
FLT1	1.1168117894106135
ITLN1	1.1150179952577641
GRP	1.10718794375647
IGKV1-16	1.106004643420187
IGKV1D-16	1.106004643420187
IGKV1D-17	1.106004643420187
TCN1	1.0901199511927366
GPR19	1.0871167768728867
KIAA1324L	1.0620129552369857
IFI44L	1.0385812056805213
PDZD2	1.0061701435386263
PCP4	1.0015229801731524
MMP11	1.0004892231659603
VNN2	-1.019265766139089
CXCR2	-1.0381067341611718
SELE	-1.048167540879966
SELL	-1.0518861422998178
FCGR3B	-1.0597324046363354
CXCR1	-1.1310090324003284
CA12	-1.1540378615414646
APOA2	-1.251020356586655
CMTM2	-1.2882338520402463
EPYC	-1.3137365489822592
LYPD8	-1.3425833774011249
SOX8	-1.3598147145470119
S100A12	-1.4211911677908091
PI15	-1.424662552694528
