gene_symbol	ID	logFC
ESM1	11729647_s_at	2.4191284130113697
ESM1	11741353_a_at	1.933288682768973
DKK2	11728088_at	1.650816299027007
CXCL9	11719943_at	1.557982922998066
COL9A1	11733155_a_at	1.4817557192455553
CXCL10	11720298_at	1.4206358447600254
PIGR	11716109_a_at	1.372578797837254
CXCL11	11749245_a_at	1.3514286899293158
PIGR	11716111_x_at	1.3512398672630423
FRZB	11720326_a_at	1.29436505614325
CXCL11	11732466_a_at	1.2639593006590193
PDZD2	11718913_s_at	1.236982362170525
CXCL11	11732467_x_at	1.2283283806318774
MAGEA3	11726339_s_at	1.2112654438710861
MAGEA6	11726339_s_at	1.2112654438710861
ROBO2	11729987_s_at	1.1917887902184452
MS4A12	11733744_at	1.1609865667415455
IGKV3-20	11753832_x_at	1.1430194911527485
IGKV3D-20	11753832_x_at	1.1430194911527485
PDZD2	11718912_a_at	1.1209699648814464
IGK	11763222_x_at	1.1140567463428184
IGKC	11763222_x_at	1.1140567463428184
IGKV1-16	11763222_x_at	1.1140567463428184
IGKV1-5	11763222_x_at	1.1140567463428184
IGKV1D-16	11763222_x_at	1.1140567463428184
IGKV1D-17	11763222_x_at	1.1140567463428184
FLT1	11724970_at	1.1137432769161144
TCN1	11726124_at	1.1104279821979617
GBP4	11733953_x_at	1.0983595389779774
PLA2G2A	11718416_a_at	1.0934428156362985
KIAA1324L	11741802_a_at	1.0895231701252803
ITLN1	11723027_at	1.078876991735033
GPR19	11740637_at	1.064457414412183
GBP4	11733952_at	1.0630945969514012
GRP	11756874_a_at	1.0612647469361818
IFI44L	11723234_at	1.0575955609185197
PCP4	11722232_a_at	1.0343393751411272
PIGR	11716110_s_at	1.030831956808504
PLA2G2A	11754033_a_at	1.0030088833094544
ADAMDEC1	11750826_x_at	1.000681883528575
KRT23	11744424_a_at	-1.0075704434552906
VNN2	11756793_a_at	-1.0221996584806128
CXCR2	11731423_at	-1.0333674835876039
CA12	11720946_at	-1.0413633923531123
SELE	11726316_at	-1.0440198354585597
VNN2	11741768_a_at	-1.0502932370189875
SELL	11720167_at	-1.0510416901572874
FCGR3B	11733005_at	-1.0584855998881757
SULT1C2	11725598_a_at	-1.0956153217880988
CXCR1	11733003_a_at	-1.1258050927454128
MMP13	11752876_x_at	-1.1296309417440362
CA12	11754856_a_at	-1.1418229701576692
CA12	11720947_x_at	-1.1644963544708595
APOA2	11757667_x_at	-1.2427673763162685
APOA2	11753839_x_at	-1.2562718690146815
CMTM2	11729784_a_at	-1.285458860125381
APOA2	11718034_a_at	-1.2988715214550592
LYPD8	11729538_at	-1.337430482595673
EPYC	11726128_at	-1.3430433332977785
SOX8	11721911_at	-1.3890785892216773
S100A12	11725138_at	-1.4207125066394326
PI15	11725585_at	-1.4238298632498747
MMP13	11729296_s_at	-1.4339355993197884
MMP13	11729297_at	-1.4661117188483814
