gene_symbol	logFC
MAGEA3	2.5747663403246777
MAGEA6	2.5747663403246777
HMGCS2	2.24857221314981
XIST	1.8708509775613993
TACSTD2	1.8288432407017083
PCSK1	1.7868221123345136
CLCA1	1.5625914794783373
SOSTDC1	1.504736506534233
PLA2G2A	1.5004478317725152
NPNT	1.4521897985484191
HEPACAM2	1.4131624334841169
REG1A	1.3489270662796713
GRB14	1.3374782914568113
FCGBP	1.333102458751883
GNG4	1.3025915987549466
ADH1A	1.3017452974231194
ADH1B	1.3017452974231194
ADH1C	1.3017452974231194
NMU	1.2997828434485577
STMN2	1.29810886685791
SLC4A4	1.2922317178451026
L1TD1	1.279932020017048
ITLN1	1.2781830283954179
SPINK4	1.2759280037492895
FABP1	1.2674489812688972
PRDM10	1.2674489812688972
PCDH19	1.2590559092384526
SDR16C5	1.2582792585875282
GHR	1.24769878178029
LYPD6B	1.234690589693749
PLAG1	1.2272289152901115
FRZB	1.2256977121187922
GRP	1.2175573685586603
CPE	1.198502991388164
SFTA2	1.1950945801316042
NPSR1	1.1876861453419636
ST6GAL2	1.1676887188424572
AKR1C4	1.1132490898825615
ALDH1A1	1.1108667121825695
DSC3	1.1100878504428415
MAGEA2	1.1015663814509873
MAGEA2B	1.1015663814509873
DCDC2	1.0936819445458088
PCOLCE2	1.0775686672536349
BEX4	1.076664254815963
ABHD12B	1.0679503164954287
KIAA1324L	1.0560191006612971
C12orf56	1.055355444422748
SLC44A5	1.0506600664834158
PLN	1.0492042519402034
PUDP	1.0348529683116467
WNT11	1.0323362932889122
SLCO1B3	1.0063622220251585
KCNN4	-1.0241116724366108
TINAG	-1.0427378575148452
LEFTY1	-1.076238381315477
ENPP3	-1.0857948578945305
CXCL6	-1.1027878206111659
C2CD4A	-1.1061170412681616
NOS2	-1.1158449979250462
FAM3B	-1.129282017116493
KIF26A	-1.19177342008002
WT1	-1.2088027410523532
CXCL13	-1.2371123228674288
RNF182	-1.2734535125499624
IL33	-1.3053233438274017
LOC100190940	-1.3256836620188972
PIGR	-1.3346200961572539
NOX1	-1.3965483276304047
EIF1AY	-1.4591764790904782
RPS4Y1	-1.471896541426184
DDX3Y	-1.480022132152115
CAPN8	-1.532905035561095
MAGEA11	-1.7680072087504857
PTPRO	-2.6674150880566327
