gene_symbol	ID	logFC
MAGEA3	11726339_s_at	2.6091702350386985
MAGEA6	11726339_s_at	2.6091702350386985
HMGCS2	11720533_a_at	2.261123219061913
XIST	11757733_s_at	1.8971044381444262
TACSTD2	11717301_at	1.858805071203573
ADH1C	11730779_at	1.789277425276973
PCSK1	11736339_a_at	1.7736874022377593
ADH1C	11730780_x_at	1.7529774499996584
FABP1	11723040_a_at	1.6038050432319153
PLA2G2A	11718416_a_at	1.5733188982490232
CLCA1	11728746_a_at	1.5599887423163388
SOSTDC1	11754380_a_at	1.5214498395017158
PLA2G2A	11757057_x_at	1.4973709853083577
FABP1	11758878_x_at	1.4621961209162873
NPNT	11718435_a_at	1.4594037512075033
NMU	11728376_s_at	1.4453415665252933
STMN2	11758790_a_at	1.4184739171446958
HEPACAM2	11728821_a_at	1.4048876234915433
FREM2	11735084_s_at	1.3950402075386785
XIST	11757857_s_at	1.385086591320853
GNG4	11753860_a_at	1.3659688985492393
PLAG1	11741638_a_at	1.3474444605289104
GRB14	11723586_a_at	1.3439555994179337
PLA2G2A	11754033_a_at	1.338634011155433
GNG4	11725128_a_at	1.3319229396410655
FCGBP	11716486_at	1.3275238674276295
REG1A	11715386_at	1.3235656647284308
STMN2	11717825_a_at	1.3073021612483648
GNG4	11726228_x_at	1.303885121269455
L1TD1	11723364_at	1.2985980537917463
NMU	11728377_x_at	1.2984628287887325
ADH1A	11722994_s_at	1.2978831907445425
ADH1B	11722994_s_at	1.2978831907445425
ADH1C	11722994_s_at	1.2978831907445425
HLA-DPB1	11758369_x_at	1.2867785219288699
SLC4A4	11717820_a_at	1.285816895888428
FABP1	11723041_s_at	1.2728251590810924
PRDM10	11723041_s_at	1.2728251590810924
ITLN1	11723027_at	1.2637715823358615
SPINK4	11741453_at	1.261781830841372
PCDH19	11745374_a_at	1.2561556516188193
GHR	11728055_at	1.253659407432406
PLAG1	11736801_a_at	1.2419704689676845
DNAJC15	11743049_at	1.2419458808407082
LYPD6B	11744596_a_at	1.237905617064194
SDR16C5	11754879_a_at	1.2361573642480828
FRZB	11720326_a_at	1.2300246671045043
XIST	11754194_s_at	1.221474190293869
CLDN18	11722312_a_at	1.219703733622616
GRP	11756874_a_at	1.218886990839401
ALDH1A1	11743044_a_at	1.2103199394649007
NPSR1	11753482_a_at	1.1958784194814456
CPE	11743577_s_at	1.1947952910685125
SFTA2	11733543_at	1.1920111995246767
ST6GAL2	11724383_at	1.1814280761758684
ADH1B	11747167_x_at	1.1800601026403719
CPE	11743576_at	1.1749940037900597
STMN2	11717826_x_at	1.1683675509949065
HEPACAM2	11750918_a_at	1.1605884290590134
ADAMDEC1	11750825_a_at	1.156963708328786
MAGEA2	11731297_x_at	1.155469314385829
MAGEA2B	11731297_x_at	1.155469314385829
FLRT3	11739518_a_at	1.1467058267694696
DSC3	11743835_a_at	1.121096101077061
DSC3	11754838_a_at	1.1195866321035401
ALDH1A1	11752548_a_at	1.1119593906868177
MAGEA2	11749283_x_at	1.1089135002913144
MAGEA2B	11749283_x_at	1.1089135002913144
AKR1C4	11731677_at	1.1002264344436963
DCDC2	11729039_at	1.0942755873543817
SLC44A5	11733491_a_at	1.0942428739005052
BEX4	11718588_a_at	1.0813540849111387
REG1B	11742919_x_at	1.0801578730355637
PCOLCE2	11728451_a_at	1.0775941690673871
C12orf56	11735608_s_at	1.0765408808971948
KIAA1324L	11741802_a_at	1.0721803282176006
ALDH1A1	11752549_x_at	1.069693927300107
SLC44A5	11733492_s_at	1.0658514866039566
C12orf56	11735607_a_at	1.0657019011163864
DKK2	11728088_at	1.0654381320236825
TKTL1	11726242_a_at	1.0594639771012628
ADAMDEC1	11750826_x_at	1.0559896147325993
ABHD12B	11738864_a_at	1.048292017925573
PLN	11723645_at	1.0473402191420362
SYNPO2	11721602_a_at	1.0473313381641396
MAGEA2	11749282_a_at	1.046473193420686
MAGEA2B	11749282_a_at	1.046473193420686
ASPN	11719805_a_at	1.040919075668409
PUDP	11719628_a_at	1.0402629093085602
ADAMDEC1	11729110_s_at	1.0395117167554722
PCK1	11726273_a_at	1.0368943307991767
ADAMDEC1	11751267_a_at	1.0357098215864653
PUDP	11751354_a_at	1.0291229897545398
WNT11	11763605_a_at	1.0274667470931904
ERLIN2	11735259_a_at	1.0153293716325464
ADAMDEC1	11729111_x_at	1.004791991288842
APOLD1	11719883_a_at	-1.0006184626250523
TXLNGY	11759807_a_at	-1.010450064725303
CXCL13	11720162_at	-1.0179270634205642
TINAG	11760664_at	-1.0360818361781976
KCNN4	11719227_x_at	-1.0406304947864289
FAM118A	11746669_a_at	-1.0935462545119243
CXCL6	11730801_at	-1.0992667269477003
LEFTY1	11755164_a_at	-1.1012627935425137
ENPP3	11724667_s_at	-1.102712022618924
FAM118A	11720023_a_at	-1.1033107460852083
NOS2	11724403_at	-1.1074898456053175
C2CD4A	11731015_at	-1.1109815842065371
TXLNGY	11764064_s_at	-1.1113880279210298
FAM3B	11732500_a_at	-1.1183618691384005
NA	11759866_at	-1.1567933082668505
KIF26A	11729429_a_at	-1.192860558844636
WT1	11730686_a_at	-1.2159424862938542
CXCL13	11720161_at	-1.2510408104456996
PIGR	11716110_s_at	-1.2578350851282982
MYEF2	11754279_a_at	-1.2584375124983262
RNF182	11737774_a_at	-1.274585941434683
IL33	11743858_at	-1.2861446220790729
IL33	11751426_a_at	-1.2944681746070916
IL33	11743859_x_at	-1.2950180766085388
PIGR	11716111_x_at	-1.3037359971147957
MYEF2	11727996_a_at	-1.3044548567371121
PIGR	11716109_a_at	-1.3158305863606357
LOC100190940	11757199_at	-1.3215936036380356
NOX1	11744651_a_at	-1.3795017342568618
EIF1AY	11720807_x_at	-1.4844226097835156
DDX3Y	11724075_a_at	-1.5030054824887173
RPS4Y1	11716411_x_at	-1.5096123097683716
CAPN8	11731325_a_at	-1.5355680770122984
NOX1	11736459_a_at	-1.5535903657654457
PIGR	11716112_at	-1.6104490392625934
MAGEA11	11734428_a_at	-1.77066428142721
PTPRO	11736665_a_at	-1.9284460060068427
PTPRO	11740474_a_at	-2.0772445942580777
PTPRO	11725684_a_at	-2.2806999535851236
HLA-C	11715316_x_at	-2.3305133200316064
PTPRO	11725685_a_at	-2.676217775764606
