gene_symbol	logFC
ESM1	2.581069072077103
SLC6A14	1.5372355493198704
CA2	1.485758194363859
MMP10	1.260921141528005
TESC	1.2231237020386008
HBA1	1.2191742619135528
HBA2	1.2191742619135528
COCH	1.1822678596504732
CYR61	1.1738589691880428
S100A7	1.1522179960496546
ACKR3	1.1108167567052565
ANGPT2	1.0880316785001227
LEFTY1	1.0740417514888048
ADAMTS4	1.0710026294204518
CXCL9	1.057361878071143
ITGA1	1.048528025967519
CYP1B1	-1.0097506181424016
ABHD12B	-1.0482056611632808
CCL11	-1.0657240581065377
DEFA5	-1.086296451873114
CLCA1	-1.3069359240742013
REG1A	-1.350064722014885
REG3A	-1.6622479465997984
REG1B	-1.982974800610279
