gene_symbol	ID	logFC
ESM1	11729647_s_at	3.5072478237432154
ESM1	11741353_a_at	2.5708705682691413
SLC6A14	11732565_at	1.5109319600914368
CA2	11733115_a_at	1.4838244752665277
SLC6A14	11732566_at	1.4522577940991415
S100A7	11725459_s_at	1.3470710085405226
S100A7A	11725459_s_at	1.3470710085405226
ANGPT2	11742028_a_at	1.2694317233403964
MMP10	11727906_at	1.253267471571835
TESC	11720372_at	1.2308694058757244
HBA1	11754267_x_at	1.209037008791718
HBA2	11754267_x_at	1.209037008791718
COCH	11722821_a_at	1.188865007668674
CYR61	11715493_a_at	1.1699391175358471
COL9A1	11733155_a_at	1.1639943696932034
S100A7	11725460_x_at	1.13991714824727
LPL	11718972_at	1.1082020854665569
ACKR3	11722598_s_at	1.1073386446683493
GDF15	11716665_s_at	1.1063977302618904
LEFTY1	11755164_a_at	1.0930605285555917
ANGPT2	11728245_a_at	1.082828054072312
ADGRF5	11742861_x_at	1.0697226433409739
ADAMTS4	11730923_x_at	1.068221089614834
COL4A1	11716639_a_at	1.0537677888996804
ITGA1	11737127_a_at	1.0483931872377035
CXCL9	11719943_at	1.041923180881031
ANGPT2	11742027_a_at	1.0173435879280426
HLA-C	11715316_x_at	1.0130599467710546
LPL	11718974_at	1.0057572043855756
KLHL13	11722908_a_at	1.0037257176726682
CYP1B1	11720409_s_at	-1.0098328164465222
ASPN	11719806_a_at	-1.01110080076851
CA9	11723326_at	-1.0130754392657906
DEFA5	11728641_at	-1.0228598386867098
ASPN	11719804_a_at	-1.028950283585793
ASPN	11719805_a_at	-1.03280558108467
ABHD12B	11738864_a_at	-1.0464302689282734
DMKN	11749409_a_at	-1.0510940336472423
MAOA	11745923_x_at	-1.0550462188413459
CCL11	11731776_at	-1.059933916446538
PLA2G2A	11718416_a_at	-1.0792120820290672
MAOA	11755443_a_at	-1.0867127406855044
DEFA5	11728642_s_at	-1.0942186910124434
CYP1B1	11720411_s_at	-1.2862826715868252
CLCA1	11728746_a_at	-1.3246848843171621
REG1A	11715386_at	-1.3862296507299803
REG3A	11719674_at	-1.6836393082707364
REG1B	11742918_a_at	-2.001995840212306
REG1B	11742919_x_at	-2.1520976529551454
