gene_symbol	logFC
HMGCS2	2.163594514200435
XIST	2.100296810461795
KRT23	2.0804960183219583
SOX8	1.9419048509442085
TACSTD2	1.8850780753091456
GRB14	1.729165839119625
SFTA2	1.5761827631461145
WNT11	1.548402625083252
PPBP	1.5471720114151282
HBA1	1.5143382200048485
HBA2	1.5143382200048485
SAMD5	1.5068015777138477
APOA2	1.499907103089205
STMN2	1.480815115369344
ADGRG6	1.4660291018128024
UGT2B15	1.45074727498755
DSG3	1.4379732374184933
MAGEA3	1.3993646894858118
MAGEA6	1.3993646894858118
NPNT	1.370027896418323
PLN	1.369642377316648
NTS	1.3258078291644675
HBB	1.31889294483892
NMNAT2	1.3019708450378795
DPEP1	1.2902101642860924
ACTG2	1.2653969745506646
FRAS1	1.2512181686333337
KRT17	1.2472033575923014
MUC17	1.247192189523851
IGFBP2	1.2427828433008625
CES1	1.2423238892805049
CES1P1	1.2423238892805049
PROM1	1.2406972840269326
CPE	1.2325541737401835
CNN1	1.2136528494512664
AGR3	1.2059148517175196
SERPINB2	1.1661412767262576
BAMBI	1.1624193422104145
RGCC	1.1610498321905887
SLC44A5	1.1420411516065032
S100A4	1.141149763792182
BST1	1.1363957048628581
PRAME	1.1345561491504603
PVRL4	1.1093463334350595
SLCO4A1-AS1	1.1042929107453165
SERPINA3	1.0770597199278584
NMU	1.0695492448099522
PPP1R14A	1.0566398725815662
LYPD8	1.0553682949534782
NPTX2	1.0475755899425367
CTSE	1.042199058295619
DEFB1	1.0318268161725432
DUSP27	1.030258517834059
TESC	1.0175020092922438
SERPINB5	1.0068047118945813
AKR1C3	1.0049763371255285
EDIL3	1.0028591191072511
CA9	-1.0080798185335738
RSAD2	-1.0435580251877887
CCND2	-1.0502528332424532
C4BPA	-1.064711330386796
NOS2	-1.0723104216636854
FAM3B	-1.0751112453248304
RARRES3	-1.0826255308236912
AIM2	-1.0830010362082323
IGKV1-16	-1.103536359076446
IGKV1D-16	-1.103536359076446
IGKV1D-17	-1.103536359076446
RGMB	-1.1347512544134961
MT1JP	-1.1396489198127147
MT1P3	-1.1396489198127147
PTPRD	-1.1440912719130107
LOC100190940	-1.1711622726059003
GZMA	-1.2092653535147968
CXCL10	-1.2150923405615854
MT1H	-1.2267265755805408
FABP6	-1.25856298371197
SYT13	-1.2633589059189407
RPS4Y1	-1.266378659441429
GPCPD1	-1.2705244836830314
GABBR1	-1.2724710035978193
UBD	-1.2724710035978193
MT1M	-1.2894254241706289
PIWIL1	-1.292963470369234
CXCL11	-1.3650290350519363
KIF26A	-1.38723068684987
IGKV3-20	-1.4032878260477277
IGKV3D-20	-1.4032878260477277
REG3A	-1.4925786483585792
DDX3Y	-1.5374839928522395
C2CD4A	-1.5375271693057808
IL33	-1.541025965370931
IGKV1-12	-1.57117133782159
IGKV1D-12	-1.57117133782159
ORM1	-1.6439259974061937
EIF1AY	-1.699022897806641
CKMT2	-1.7612416840862433
WT1	-1.778210423205258
NOX1	-1.796649147295886
MAGEA11	-1.8931268135703005
PIGR	-1.9740901390902668
PTPRO	-2.7927131575367072
