gene_symbol	ID	logFC
HMGCS2	11720533_a_at	2.147389503898367
KRT23	11744424_a_at	2.1024282453680607
XIST	11757733_s_at	2.100561407349153
SOX8	11721911_at	1.9416670493700572
TACSTD2	11717301_at	1.9004265012153994
CBS	11744286_s_at	1.7539086372064006
CBSL	11744286_s_at	1.7539086372064006
XIST	11754194_s_at	1.734134979415424
GRB14	11723586_a_at	1.7340976818149776
XIST	11757857_s_at	1.611406187232723
PPBP	11743087_at	1.5938803394098713
CBS	11744835_s_at	1.5914674500508514
CBSL	11744835_s_at	1.5914674500508514
SFTA2	11733543_at	1.5892064460179167
APOA2	11718034_a_at	1.5833324885378137
WNT11	11763605_a_at	1.5237332474729666
HBA1	11754267_x_at	1.5181006705264979
HBA2	11754267_x_at	1.5181006705264979
SAMD5	11726174_at	1.516027189812334
HBB	11753712_x_at	1.513314094883803
APOA2	11757667_x_at	1.5014247131530984
APOA2	11753839_x_at	1.4986523379384686
ADGRG6	11725191_s_at	1.4932592866776009
STMN2	11717825_a_at	1.4884661287379783
DNAJC15	11743049_at	1.4788193684869624
DSG3	11728833_at	1.4415863395767055
DSG3	11728832_at	1.426446891872157
UGT2B15	11741266_x_at	1.4249485744489099
WNT11	11732464_a_at	1.411366780163891
PLN	11723645_at	1.3808618107292183
FREM2	11735084_s_at	1.3792332393321651
STMN2	11758790_a_at	1.3789252236775074
NPNT	11718435_a_at	1.366677699981972
SCARA5	11727780_a_at	1.3650728635423421
MAGEA3	11726339_s_at	1.3559842690990336
MAGEA6	11726339_s_at	1.3559842690990336
HBB	11715348_x_at	1.3254633291341418
NTS	11719684_a_at	1.3248570153921206
HBB	11715347_s_at	1.3232624790099496
NMNAT2	11728253_a_at	1.3037503275822928
DPEP1	11756343_a_at	1.2905937930674156
UGT2B15	11741265_s_at	1.2781319190878744
ACTG2	11715793_a_at	1.2737092422063574
KRT6A	11742954_a_at	1.2707769192068472
CES1	11721638_s_at	1.2632450206779313
CES1P1	11721638_s_at	1.2632450206779313
IGFBP2	11722583_a_at	1.2601325885036934
KRT17	11715280_s_at	1.2597209940547565
SCEL	11734853_x_at	1.2543613584214857
ACTG2	11748016_a_at	1.2522754957282807
SERPINA3	11716490_a_at	1.248826442954187
FRAS1	11723177_at	1.2440631883686644
MUC17	11736372_at	1.2439251983707003
CPE	11743577_s_at	1.2396695401562905
PROM1	11754354_s_at	1.2353665364772777
PLN	11723644_a_at	1.2269696616521415
CNN1	11734311_s_at	1.2172385152755396
NMU	11728376_s_at	1.2141356545019732
PHGDH	11728203_a_at	1.19866886161679
AGR3	11723524_at	1.195303829993609
ADGRG6	11725190_a_at	1.1951030100409277
ADGRG6	11729550_a_at	1.1897327655877357
KRT6A	11742955_x_at	1.186366727828048
SERPINB2	11716631_s_at	1.1836052764237976
CLDN10	11739761_a_at	1.1807826891616728
ERLIN2	11745025_a_at	1.177783739951475
STMN2	11717826_x_at	1.1652854446736036
ERLIN2	11735260_s_at	1.1552412603239866
BST1	11729846_a_at	1.1549405148678709
RGCC	11717582_a_at	1.148144468592438
SLC44A5	11733492_s_at	1.1470764118577241
S100A4	11756146_x_at	1.1460110161239818
BAMBI	11756509_a_at	1.144594506499466
TKTL1	11726242_a_at	1.1218218570821237
PRAME	11717271_a_at	1.1191060717250676
CPE	11743576_at	1.113571689867337
SLCO4A1-AS1	11757046_a_at	1.110605161916439
ERLIN2	11741587_x_at	1.1083077622830917
NMNAT2	11742025_a_at	1.1045276296892261
SLC16A4	11749023_a_at	1.1042583389006122
PVRL4	11728764_a_at	1.1012920959032968
SLC44A5	11733491_a_at	1.0921838995049526
S100A4	11718064_a_at	1.0869311720871124
S100A4	11723006_a_at	1.083748457789408
DUSP27	11740051_at	1.0690777378526466
CTSE	11743162_a_at	1.0665082535457557
SERPINA3	11716491_s_at	1.0591244711071772
SYNPO2	11721602_a_at	1.0588210453441302
FABP1	11723040_a_at	1.0560262476250664
PPP1R14A	11719121_a_at	1.0542955766017452
NTS	11719685_at	1.0541172650799053
KRT6B	11723983_at	1.053182047297124
NMU	11728377_x_at	1.052937480552952
NPTX2	11720005_at	1.0478237144582776
LYPD8	11729538_at	1.035046887912312
MAGEA2	11731297_x_at	1.033564966167644
MAGEA2B	11731297_x_at	1.033564966167644
DEFB1	11723845_a_at	1.0128112601087056
TESC	11720372_at	1.010976418298858
EDIL3	11764077_s_at	1.0107882242880528
MBOAT2	11730901_at	1.0096204017017723
AKR1C3	11715711_a_at	1.0092581983873021
FABP1	11758878_x_at	1.0075412549641225
SERPINB5	11736061_a_at	1.0073311313692237
XK	11728137_at	-1.001136321664445
PCP4	11722232_a_at	-1.0012366633898377
MCM8	11739931_x_at	-1.0028010460357963
TXLNGY	11728775_at	-1.0042742132632227
HOXB3	11750898_a_at	-1.0047128674909902
CHN2	11757516_s_at	-1.007069037457515
LOC101928168	11757516_s_at	-1.007069037457515
CA9	11723326_at	-1.0076314166059532
CXCL9	11719943_at	-1.0117713031645235
MCM8	11739930_a_at	-1.0147521996176225
DDX3Y	11749841_x_at	-1.0162808216762738
ABCD3	11741592_x_at	-1.0222571248599057
RARRES3	11719692_a_at	-1.0299395870437036
JAG1	11751993_a_at	-1.0335647693313996
RSAD2	11739216_x_at	-1.0396899487650293
IGKV1-5	11763684_x_at	-1.0445827281401514
MCM8	11734971_s_at	-1.0457629659770569
CHN2	11721936_a_at	-1.0501337363812837
LOC101928168	11721936_a_at	-1.0501337363812837
IGHM	11759815_a_at	-1.050469147742838
CCND2	11719198_s_at	-1.0571797548676116
FAM3B	11732500_a_at	-1.05738785606278
RGMB	11721792_at	-1.0699776526103753
TXLNGY	11764064_s_at	-1.0749042512760818
C4BPA	11744719_x_at	-1.0816825166635153
NOS2	11724403_at	-1.0841195338004286
AIM2	11730458_at	-1.095621069929047
RARRES3	11748907_a_at	-1.097068489687661
CCL4L1	11744660_s_at	-1.1029272617041883
CCL4L2	11744660_s_at	-1.1029272617041883
IGK	11763222_x_at	-1.1052670410747893
IGKC	11763222_x_at	-1.1052670410747893
IGKV1-16	11763222_x_at	-1.1052670410747893
IGKV1-5	11763222_x_at	-1.1052670410747893
IGKV1D-16	11763222_x_at	-1.1052670410747893
IGKV1D-17	11763222_x_at	-1.1052670410747893
RGMB	11721793_at	-1.1098183771899557
MT1M	11728397_at	-1.11577629519555
ABCD3	11741591_at	-1.124850774096471
PTPRD	11721790_s_at	-1.1418476716520645
MT1JP	11753736_s_at	-1.1430497386681506
MT1M	11753736_s_at	-1.1430497386681506
MT1P3	11753736_s_at	-1.1430497386681506
LOC100190940	11757199_at	-1.168030100057484
CCND2	11719197_at	-1.2073994207583088
GZMA	11720496_at	-1.2147506900383855
GPCPD1	11718502_at	-1.220526357521938
MCM8	11734972_x_at	-1.2272656040068304
MT1JP	11763100_x_at	-1.2373243619621734
CXCL10	11720298_at	-1.238798497214539
MT1H	11731857_x_at	-1.241015939405088
RPS4Y1	11716411_x_at	-1.2458942260582928
GPCPD1	11718503_a_at	-1.269782972142445
FABP6	11725724_a_at	-1.27342777399405
SYT13	11724631_at	-1.2796001207908443
ORM1	11758794_x_at	-1.280946627073173
FAM118A	11720023_a_at	-1.2877664464046426
GABBR1	11723069_at	-1.2892705581352857
UBD	11723069_at	-1.2892705581352857
PIWIL1	11728487_at	-1.2897121743287814
MT1M	11728398_x_at	-1.2947580780167964
KIF26A	11729429_a_at	-1.3748805914970132
HLA-C	11715316_x_at	-1.375403370338411
CXCL11	11732466_a_at	-1.3781706513201257
CXCL11	11732467_x_at	-1.3785441258496771
IGKV3-20	11753832_x_at	-1.4146819056879476
IGKV3D-20	11753832_x_at	-1.4146819056879476
CXCL11	11749245_a_at	-1.4187929727498272
FAM118A	11746669_a_at	-1.4264603466870938
IL33	11743858_at	-1.5151863495369007
IL33	11743859_x_at	-1.5205527722631178
DDX3Y	11724075_a_at	-1.524994666513738
PTPRD	11721789_a_at	-1.530029025822448
C2CD4A	11731015_at	-1.5503903389961726
REG3A	11719674_at	-1.5589540418789216
IGKV1-12	11759652_x_at	-1.5682010884240247
IGKV1D-12	11759652_x_at	-1.5682010884240247
PTPRO	11736665_a_at	-1.5742673267584162
IL33	11751426_a_at	-1.5963887898558804
ORM1	11744905_x_at	-1.6532534185143686
EIF1AY	11720807_x_at	-1.6832326720894637
ORM1	11754065_x_at	-1.6896094624120774
PIGR	11716112_at	-1.7504602457952578
CKMT2	11719876_at	-1.7710254171282238
PIGR	11716110_s_at	-1.785091635431057
NOX1	11744651_a_at	-1.7916687749660642
WT1	11730686_a_at	-1.8026709228730695
ORM1	11744904_a_at	-1.8533783570638793
ORM2	11744904_a_at	-1.8533783570638793
MAGEA11	11734428_a_at	-1.8956725454032455
PIGR	11716109_a_at	-1.959355367027201
NOX1	11736459_a_at	-2.021412399245815
PIGR	11716111_x_at	-2.0299878938314446
PTPRO	11740474_a_at	-2.1832089155310346
PTPRO	11725684_a_at	-2.3006954906443227
PTPRO	11725685_a_at	-2.7842230987377414
