gene_symbol	logFC
ESM1	2.064173924175626
CXCL10	1.3647098430757794
CXCL11	1.3639719180395469
GRP	1.3288061814549987
CXCL9	1.316338355461193
MMP11	1.2654816143081282
BMP8A	1.204059346536063
FLT1	1.1655314187701995
ANGPT2	1.1465972897325099
MMP7	1.068932923097261
MMP10	1.0517597139073063
TCN1	1.0510736454694483
ROBO2	1.0505758378407721
GPR19	1.0440318371572817
MAGEA3	1.0436932894953452
MAGEA6	1.0436932894953452
IBSP	1.0249885043995244
DIO2	1.0245584409447712
PDZD2	1.0245274212308741
IFI44L	1.0076507564933488
KIAA1324L	1.0033328392284044
SELL	-1.0431030421060346
CA12	-1.09748381497368
APOA2	-1.1379359686256576
SOX8	-1.223691827096438
LYPD8	-1.4704418921999904
