gene_symbol	ID	logFC
ESM1	11729647_s_at	2.6360258276533908
ESM1	11741353_a_at	2.053647523404483
DKK2	11728088_at	1.671800018778323
CXCL11	11749245_a_at	1.4947861495799577
CXCL10	11720298_at	1.3746443000592121
CXCL11	11732466_a_at	1.3726488261212344
CXCL11	11732467_x_at	1.3621905044495755
COL9A1	11733155_a_at	1.339733541718232
CXCL9	11719943_at	1.3111213181119172
GRP	11756874_a_at	1.2909577691427478
PDZD2	11718913_s_at	1.2449868925920589
MMP11	11721124_s_at	1.2349058629342728
CXCL8	11754026_a_at	1.2226227875197448
BMP8A	11728176_a_at	1.1914629674467827
CXCL8	11763226_x_at	1.159081570124071
FLT1	11724970_at	1.1557086777304342
ANGPT2	11728245_a_at	1.1344858725669598
MMP7	11756074_a_at	1.124506620191399
PDZD2	11718912_a_at	1.1191320340780253
MAGEA3	11726339_s_at	1.0799238177974502
MAGEA6	11726339_s_at	1.0799238177974502
TCN1	11726124_at	1.0644185392646044
ANGPT2	11742027_a_at	1.06068339235419
ANGPT2	11742028_a_at	1.060241016757013
MMP7	11744031_at	1.0574473627667746
NTM	11743191_a_at	1.050416054615459
MMP7	11744030_a_at	1.047260185202676
MMP10	11727906_at	1.043096854812072
ROBO2	11729987_s_at	1.039456033843269
KIAA1324L	11741802_a_at	1.03361822355898
GPR19	11740637_at	1.0274628591007655
IFI44L	11723234_at	1.0195737403562104
IBSP	11724065_at	1.0117681836636176
PDZD2	11718914_x_at	1.0080088406709056
S100A12	11725138_at	-1.0083128480952448
SELL	11720167_at	-1.0565353544106726
CA12	11754856_a_at	-1.0859596039097328
CA12	11720947_x_at	-1.1129699006022378
APOA2	11757667_x_at	-1.1327970919859056
APOA2	11753839_x_at	-1.188597356441019
APOA2	11718034_a_at	-1.1983401503744617
SOX8	11721911_at	-1.2658056430603608
LYPD8	11729538_at	-1.4562443015683746
