gene_symbol	logFC
MAGEA3	2.6404260550635965
MAGEA6	2.6404260550635965
HMGCS2	2.189488961672744
XIST	1.8555539318736463
PCSK1	1.8472969302176923
FCGBP	1.7223939203310836
CLCA1	1.7217802012842345
ITLN1	1.7199449317007218
HEPACAM2	1.7019422004828426
TACSTD2	1.631008503800925
SOSTDC1	1.6223569277990197
ADH1A	1.6202472081341917
ADH1B	1.6202472081341917
ADH1C	1.6202472081341917
SLC4A4	1.5957451502498126
STMN2	1.5764092134596126
SPINK4	1.556550196244487
PLA2G2A	1.5416795533258352
GNG4	1.4443596191239667
FRZB	1.4381638528281
GRB14	1.4220565093811905
NPNT	1.3403902958687066
NXPE4	1.3042310431337425
ST6GAL2	1.2849746014414656
PCDH19	1.2763459553611503
LYPD6B	1.2753387600981396
L1TD1	1.2731649914858116
FABP1	1.2711616245252912
PRDM10	1.2711616245252912
GHR	1.2691697619334539
PLAG1	1.2095624130822413
REG4	1.1979042940211553
CPE	1.1883665569468373
ZG16	1.183721004163611
REG1A	1.1819535122651388
ADAMDEC1	1.1789266719232447
ALDH1A1	1.1784434341884573
PLAC8	1.1739276994430252
HSD17B2	1.1683291377706624
SDR16C5	1.1519181594015393
CHGA	1.1415817018503107
SI	1.133840486586669
IGFBP2	1.1256941498493456
MAGEA2	1.1254011182406605
MAGEA2B	1.1254011182406605
C12orf56	1.1177188407695073
NMU	1.1033881431725536
AKR1C4	1.0967124291902524
KIAA1324L	1.0941349088728574
RBP4	1.0828797522619924
PCP4	1.0776854023453994
PUDP	1.0674513918971682
DSC3	1.0670316428142694
SLC44A5	1.0582821360425516
GRP	1.0538451681764407
GABRB2	1.0312874462678767
SFTA2	1.0231448627565634
BEX4	1.0231140925035351
PCCA	1.0226754719371414
DCDC2	1.021912029421065
WNT11	1.0202068339788797
RETNLB	1.0163316161722324
ABHD12B	1.0100591982786868
AGR3	1.0016071091815704
NOS2	-1.004464388213977
SULT1C2	-1.0113350622555908
COL7A1	-1.0260445973972976
COL12A1	-1.0270658099654888
C2CD4A	-1.0369662483179196
PIGR	-1.0413056868898902
PF4	-1.082618289431391
MMP1	-1.119764188969251
CXCL13	-1.1267893368020063
KIF26A	-1.162471224635044
TNC	-1.1749416911341086
LOC100190940	-1.1784974759801292
MMP3	-1.228710666088352
RNF182	-1.2447034000971775
EIF1AY	-1.2486865341667688
WT1	-1.2560334835800813
COL10A1	-1.2719603619960171
PI15	-1.2925501612063073
CXCL6	-1.3054808861449851
NOX1	-1.3128496995398482
IL33	-1.3283788134669567
RPS4Y1	-1.369398647384191
DDX3Y	-1.441356836867289
CAPN8	-1.5474586049375176
CCL18	-1.5767567141835048
MAGEA11	-1.817988255106998
PTPRO	-2.51403720288007
