gene_symbol	ID	logFC
MAGEA3	11726339_s_at	2.6717173563615724
MAGEA6	11726339_s_at	2.6717173563615724
HMGCS2	11720533_a_at	2.211211167308975
ADH1C	11730779_at	2.195338978298876
ADH1C	11730780_x_at	2.1269668307644505
XIST	11757733_s_at	1.87691226506566
PCSK1	11736339_a_at	1.8340889647898848
ADH1B	11747167_x_at	1.70699922048101
FCGBP	11716486_at	1.7039023018137245
CLCA1	11728746_a_at	1.703754247259008
ITLN1	11723027_at	1.6881475216591797
HEPACAM2	11728821_a_at	1.68696788171175
TACSTD2	11717301_at	1.6598263681264296
STMN2	11758790_a_at	1.640534486975846
SOSTDC1	11754380_a_at	1.6351131660249356
FABP1	11723040_a_at	1.6294466983491471
PLA2G2A	11718416_a_at	1.612640652517885
ADH1A	11722994_s_at	1.60746367646116
ADH1B	11722994_s_at	1.60746367646116
ADH1C	11722994_s_at	1.60746367646116
SLC4A4	11717820_a_at	1.5806201031110962
STMN2	11717825_a_at	1.5721082198094667
SPINK4	11741453_at	1.5253973011266444
PLA2G2A	11757057_x_at	1.5251202127657688
FABP1	11758878_x_at	1.4901170657609981
FREM2	11735084_s_at	1.4890576482871993
ADH1B	11746898_x_at	1.4866596944632162
GNG4	11753860_a_at	1.4627655877874286
GNG4	11726228_x_at	1.4438965009341462
HEPACAM2	11750918_a_at	1.4409545470607616
FRZB	11720326_a_at	1.4406984410579016
GNG4	11725128_a_at	1.4319635869701628
GRB14	11723586_a_at	1.4262781332965533
STMN2	11717826_x_at	1.3825147765305612
XIST	11757857_s_at	1.3732287266053955
PLA2G2A	11754033_a_at	1.3685442131974943
ADAMDEC1	11750825_a_at	1.3533219894756154
NPNT	11718435_a_at	1.3502961174332624
PLAG1	11741638_a_at	1.314751859037595
NXPE4	11741986_a_at	1.3008051557045546
ST6GAL2	11724383_at	1.2925366195492298
L1TD1	11723364_at	1.2881175206311553
ALDH1A1	11743044_a_at	1.2787156542482485
FABP1	11723041_s_at	1.2782596972415607
PRDM10	11723041_s_at	1.2782596972415607
LYPD6B	11744596_a_at	1.2770374307823849
PCDH19	11745374_a_at	1.2762698284127332
DNAJC15	11743049_at	1.2747272487710584
GHR	11728055_at	1.2707336284938684
NMU	11728376_s_at	1.2544259891677871
ADAMDEC1	11750826_x_at	1.243474361898964
PLAG1	11736801_a_at	1.228173599371936
XIST	11754194_s_at	1.2196126020046623
ADAMDEC1	11729110_s_at	1.2146874347977112
MAGEA2	11731297_x_at	1.2097649447929721
MAGEA2B	11731297_x_at	1.2097649447929721
