gene_symbol	logFC
ESM1	2.692344929243455
CYR61	1.3531520290807615
IL6	1.3153506587053228
IL11	1.3152795568599167
MMP10	1.3070578907127546
COL10A1	1.3025925062375334
ANGPT2	1.2805825630786858
ADAMTS4	1.2515555537834118
BMP8A	1.2151638805630345
MMP3	1.2111271224011215
INHBA	1.1918263213352809
STC1	1.171410055155369
ITGA1	1.0771466196032469
ENPEP	1.0742528046709205
ACKR3	1.056133445012077
C11orf96	1.0559135243212125
COCH	1.0501681881452072
ADGRF5	1.0269465755482878
PDGFA	1.0240971303107171
COL4A1	1.0216551888648322
CA2	1.0188923238261518
NR4A3	1.0081754358517214
FCGBP	-1.018836940235171
IGK	-1.0219717864455777
IGKC	-1.0219717864455777
IGKV1-5	-1.0219717864455777
IGKV2-24	-1.0219717864455777
IGH	-1.0302524380414475
IGHA1	-1.0302524380414475
IGHA2	-1.0302524380414475
CHGA	-1.0358527709744347
GCG	-1.091847039691206
DEFA5	-1.1178075876959026
IGHG2	-1.1198272149485753
JCHAIN	-1.122875545389233
IGHM	-1.129539914105516
PLA2G2A	-1.136760988928435
MS4A1	-1.1455583821357607
IGKV1-12	-1.1594679846691651
IGKV1D-12	-1.1594679846691651
IGLL3P	-1.2160576422527853
IGKV3-20	-1.2373422612860594
IGKV3D-20	-1.2373422612860594
IGKV2-28	-1.249504696679896
IGKV2D-28	-1.249504696679896
ITLN1	-1.305155018850395
LGALS2	-1.3136862356927175
IGKV1-16	-1.3783107029757726
IGKV1D-16	-1.3783107029757726
IGKV1D-17	-1.3783107029757726
CLC	-1.4170721985544628
CCL11	-1.449918998846064
IGKV3-11	-1.4736848605656068
IGKV3D-11	-1.4736848605656068
SPINK4	-1.5669030321039035
CLCA1	-1.5772442382993521
IGLL5	-1.6345547570871561
IGLV1-36	-1.6345547570871561
IGLV1-44	-1.6345547570871561
IGLV1-47	-1.6345547570871561
REG1A	-1.7145779071659764
REG3A	-1.8076478072368243
REG1B	-1.8723741748528075
