gene_symbol	ID	logFC
ESM1	11729647_s_at	3.730811680798894
ESM1	11741353_a_at	2.679656492039685
ANGPT2	11742028_a_at	1.4163578802888983
CYR61	11715493_a_at	1.3474651661573134
IL6	11746463_a_at	1.3153710904944615
IL11	11727690_at	1.3139730422863511
MMP10	11727906_at	1.2981763438086915
COL10A1	11735218_at	1.2827910343283557
ANGPT2	11728245_a_at	1.27488640650831
ADAMTS4	11730923_x_at	1.250262143874271
ANGPT2	11742027_a_at	1.244493534763805
MMP3	11723635_s_at	1.209860739292946
BMP8A	11728176_a_at	1.206674176689738
STC1	11724197_at	1.1946591111947882
INHBA	11746931_a_at	1.190641959941324
STC1	11724196_s_at	1.1659618855832878
GDF15	11716665_s_at	1.1471310238702541
COL4A1	11716639_a_at	1.1076785364799555
THBS1	11758842_at	1.0882856875433395
ADGRF5	11742861_x_at	1.0832225301312342
ITGA1	11737127_a_at	1.076304919078738
ENPEP	11758509_s_at	1.0752182857334374
INHBA	11731496_at	1.0745976040353975
FN1	11739536_x_at	1.0730387907273347
MMP1	11741897_a_at	1.068768331550805
ACKR3	11722598_s_at	1.0543986510616818
COCH	11722821_a_at	1.0539589378420313
C11orf96	11719899_at	1.0507020676056715
CYR61	11749905_a_at	1.0491332866520766
CREB5	11722970_a_at	1.0374978732825877
CXCL8	11754026_a_at	1.0359399730956689
PTGS2	11724038_a_at	1.0350376579982417
ADGRF5	11741561_a_at	1.0303523342807246
CXCL8	11763226_x_at	1.0269723700216655
CA2	11733115_a_at	1.0251827078767892
FN1	11739535_s_at	1.02498857535166
PDGFA	11729062_a_at	1.0228012685881769
ADGRF5	11742862_a_at	1.0221585317366975
COL4A1	11716638_s_at	1.0209859703848245
FN1	11739534_a_at	1.0191814606328649
FN1	11749460_x_at	1.016525668102867
GDF15	11716663_a_at	1.0146735422322415
NR4A3	11729058_s_at	1.0112481388830172
TESC	11720372_at	1.0073042566434758
MAOA	11755443_a_at	-1.0007445728274824
IGK	11763550_x_at	-1.016042407199878
IGKC	11763550_x_at	-1.016042407199878
IGKV1-5	11763550_x_at	-1.016042407199878
IGKV2-24	11763550_x_at	-1.016042407199878
FCGBP	11716486_at	-1.0211892746380764
IGH	11764130_s_at	-1.0232894864141802
IGHA1	11764130_s_at	-1.0232894864141802
IGHA2	11764130_s_at	-1.0232894864141802
CHGA	11723302_a_at	-1.0329148498732819
GAPT	11732759_at	-1.0508919989891892
ADH1C	11730780_x_at	-1.0650015578252718
DEFA5	11728641_at	-1.0686763744856185
GCG	11742762_at	-1.0873830373385833
IGKV1-5	11763684_x_at	-1.1109487937078466
IGHG1	11754032_x_at	-1.111343912169767
IGHG2	11754032_x_at	-1.111343912169767
IGHG3	11754032_x_at	-1.111343912169767
IGHM	11754032_x_at	-1.111343912169767
IGHV4-31	11754032_x_at	-1.111343912169767
JCHAIN	11735990_x_at	-1.1135192617441376
IGHG1	11759852_x_at	-1.1201590391841005
IGHG3	11759852_x_at	-1.1201590391841005
IGHM	11759852_x_at	-1.1201590391841005
IGHV4-31	11759852_x_at	-1.1201590391841005
MS4A1	11755858_a_at	-1.1265282352066723
DEFA5	11728642_s_at	-1.1309720590273944
PLA2G2A	11757057_x_at	-1.1343460820495537
IGHG1	11760929_x_at	-1.136720702067917
IGHG3	11760929_x_at	-1.136720702067917
IGHM	11760929_x_at	-1.136720702067917
IGHV4-31	11760929_x_at	-1.136720702067917
IGHG1	11745244_x_at	-1.1408091202850859
IGHG2	11745244_x_at	-1.1408091202850859
IGHG3	11745244_x_at	-1.1408091202850859
IGHM	11745244_x_at	-1.1408091202850859
IGHV4-31	11745244_x_at	-1.1408091202850859
IGKV1-12	11759652_x_at	-1.145208461327421
IGKV1D-12	11759652_x_at	-1.145208461327421
CYP1B1	11720411_s_at	-1.1521374196427496
IGHG3	11761467_x_at	-1.1609612031188306
ADH1C	11730779_at	-1.1648899482838386
ADH1B	11746322_x_at	-1.1865687557317708
JCHAIN	11735989_s_at	-1.1906107670655182
IGLL3P	11715164_s_at	-1.203134523613758
IGKV3-20	11753832_x_at	-1.2181626685189446
IGKV3D-20	11753832_x_at	-1.2181626685189446
IGKV2-28	11763253_x_at	-1.2289587558139239
IGKV2D-28	11763253_x_at	-1.2289587558139239
ADH1B	11747167_x_at	-1.2470606114684948
ADH1B	11722995_at	-1.249354217234603
ITLN1	11723027_at	-1.2988967225547237
LGALS2	11731798_a_at	-1.3146721753733752
IGK	11763222_x_at	-1.3588317192983412
IGKC	11763222_x_at	-1.3588317192983412
IGKV1-16	11763222_x_at	-1.3588317192983412
IGKV1-5	11763222_x_at	-1.3588317192983412
IGKV1D-16	11763222_x_at	-1.3588317192983412
IGKV1D-17	11763222_x_at	-1.3588317192983412
ADH1B	11746898_x_at	-1.3729086277203884
CLC	11727473_at	-1.402679331517711
CCL11	11731776_at	-1.436166176893229
IGKV3-11	11763144_x_at	-1.4460770797270355
IGKV3D-11	11763144_x_at	-1.4460770797270355
PLA2G2A	11718416_a_at	-1.5662983470911644
SPINK4	11741453_at	-1.5667828567160855
CLCA1	11728746_a_at	-1.5890770367218403
IGLL5	11755382_x_at	-1.6164625531437702
IGLV1-36	11755382_x_at	-1.6164625531437702
IGLV1-44	11755382_x_at	-1.6164625531437702
IGLV1-47	11755382_x_at	-1.6164625531437702
REG1A	11715386_at	-1.7236397857176389
REG3A	11719674_at	-1.82865322146308
REG1B	11742918_a_at	-1.872177679510858
REG1B	11742919_x_at	-2.0619410394519546
