gene_symbol	logFC
HMGCS2	2.366702830357183
KRT23	2.017643818892866
XIST	1.848866034935683
TACSTD2	1.8063429684132295
UGT2B15	1.7932597782633426
SOX8	1.7590354550297143
GRB14	1.7229678922064942
STMN2	1.6936128566321704
WNT11	1.5756343509959736
HBA1	1.5552783315956153
HBA2	1.5552783315956153
IGFBP2	1.5172984119834254
APOA2	1.4833245761771674
SFTA2	1.4474040939612003
DPEP1	1.4285204995553054
MAGEA3	1.3699037766027353
MAGEA6	1.3699037766027353
FRAS1	1.339921202461876
LYPD8	1.3146790826503638
SLC44A5	1.2929203646227103
SLC26A3	1.279818701743114
AGR3	1.258538156442965
NPNT	1.258533527073988
NMNAT2	1.2339132035854297
HBB	1.2304327588432482
SAMD5	1.2100829289674566
ADGRG6	1.2085812120819108
WIF1	1.19479733501365
DSG3	1.1885634112124732
PVRL4	1.1591179258621418
CES1	1.153172915268379
CES1P1	1.153172915268379
SOSTDC1	1.1482479474510923
PROM1	1.142669344031587
MUC17	1.1312534296803998
BAMBI	1.1296973361685128
ACTG2	1.113130169121689
CPE	1.1060084506712604
PLN	1.0892991914343444
FGFR2	1.0810720695278295
DEFB1	1.0663144531833497
NTS	1.0536831014497308
SI	1.0405191897418034
CHRM3	1.0396673196361856
SCGB2A1	1.0391165486561995
RGCC	1.035323988270207
PPP1R14A	1.0270345918750126
RETNLB	1.0239435314328018
REG4	1.0181186200160628
FRZB	1.0078589109138294
CCL11	-1.0005538637098095
MT1H	-1.0085343480993192
SYT13	-1.0176840511053014
COL12A1	-1.0297276878966102
NOS2	-1.033800784066858
RPS4Y1	-1.034998834844048
GBP1	-1.039782811356556
IFI44L	-1.0445038472045152
FCGR3A	-1.045776933784996
CLC	-1.046614485621837
RGMB	-1.0473142540448093
LOC100190940	-1.0475859948775206
TCN1	-1.0552774968150151
XAF1	-1.0554284114866324
REG1B	-1.0801757800151899
CA9	-1.0896877252093633
CCL4	-1.1053402239221324
CCL4L1	-1.1053402239221324
CCL4L2	-1.1053402239221324
THBS2	-1.1092493377497803
CXCL9	-1.1144435756823015
GZMA	-1.1157980248410269
MT1M	-1.117530715047545
TNC	-1.1210285801383701
BST2	-1.1264445828259433
COL1A1	-1.1550473225139513
GPCPD1	-1.1564501093788042
RARRES3	-1.164285516208424
FABP6	-1.1706530966471869
KIF26A	-1.1849794209395084
PIWIL1	-1.1938455883757428
RSAD2	-1.2256682522920403
DIO2	-1.2375655626589142
IGKV3-20	-1.2546482630502096
IGKV3D-20	-1.2546482630502096
AIM2	-1.2858771571858227
IGKV1-12	-1.3114146831006188
IGKV1D-12	-1.3114146831006188
MMP7	-1.3505492547024947
EIF1AY	-1.3585738132302572
ORM1	-1.3667037078630475
DDX3Y	-1.3913685851311355
CCL18	-1.4018980468697961
C2CD4A	-1.4419628031108251
CXCL10	-1.443096715228851
GABBR1	-1.4452579996371888
UBD	-1.4452579996371888
CKMT2	-1.5097265453704756
IL33	-1.5646754954958118
REG3A	-1.7191634820053308
WT1	-1.7392952655455147
NOX1	-1.7564684716994492
CXCL11	-1.7750605639617953
MAGEA11	-1.841233687022216
PIGR	-1.860463827029367
PTPRO	-2.620473386363063
