gene_symbol	ID	logFC
HMGCS2	11720533_a_at	2.3397217411958193
KRT23	11744424_a_at	2.053528491058013
XIST	11757733_s_at	1.8574389766909105
TACSTD2	11717301_at	1.8097012716179748
SOX8	11721911_at	1.7727989004495477
UGT2B15	11741266_x_at	1.7544291910502263
GRB14	11723586_a_at	1.7330205139361263
STMN2	11717825_a_at	1.6952853961225944
UGT2B15	11741265_s_at	1.6813648657556897
FREM2	11735084_s_at	1.600481244932792
HBA1	11754267_x_at	1.5617619378525882
HBA2	11754267_x_at	1.5617619378525882
WNT11	11763605_a_at	1.5590642279184745
APOA2	11718034_a_at	1.55415534161987
XIST	11754194_s_at	1.5518243338040043
DNAJC15	11743049_at	1.5462690747475962
CBS	11744286_s_at	1.5342162743761172
CBSL	11744286_s_at	1.5342162743761172
IGFBP2	11722583_a_at	1.5143758387839412
STMN2	11758790_a_at	1.5011657159143144
APOA2	11757667_x_at	1.4888057946302977
WNT11	11732464_a_at	1.483180376754139
APOA2	11753839_x_at	1.464021190790361
SFTA2	11733543_at	1.4628936431881874
HBB	11753712_x_at	1.4552088469093132
SCARA5	11727780_a_at	1.4292612679014196
XIST	11757857_s_at	1.4263542287299042
DPEP1	11756343_a_at	1.4261015139509299
CBS	11744835_s_at	1.409922833209996
CBSL	11744835_s_at	1.409922833209996
MAGEA3	11726339_s_at	1.3465619860113933
MAGEA6	11726339_s_at	1.3465619860113933
FRAS1	11723177_at	1.3321758395709358
STMN2	11717826_x_at	1.3128075177510246
LYPD8	11729538_at	1.286947886695204
SLC44A5	11733492_s_at	1.2856207427054285
HBB	11715348_x_at	1.2671452934001355
NPNT	11718435_a_at	1.2565658741641688
HBB	11715347_s_at	1.2432538332194554
AGR3	11723524_at	1.2392586664450516
NMNAT2	11728253_a_at	1.2387057828004862
ADGRG6	11725191_s_at	1.2375808232194112
SLC26A3	11729214_a_at	1.2278074179918441
SAMD5	11726174_at	1.2268903661813226
SLC44A5	11733491_a_at	1.2240904419179248
ADH1C	11730780_x_at	1.2037639382160883
ERLIN2	11745025_a_at	1.2007054795974126
DSG3	11728833_at	1.199984324490761
ERLIN2	11735260_s_at	1.192237439294491
WIF1	11742807_a_at	1.1921078666723046
CES1	11721638_s_at	1.1758097450531926
CES1P1	11721638_s_at	1.1758097450531926
CLDN10	11739761_a_at	1.1742827930157809
PHGDH	11728203_a_at	1.1702972971628016
DSG3	11728832_at	1.149980819769155
PROM1	11754354_s_at	1.1491176884381105
PVRL4	11728764_a_at	1.144232192233705
MUC17	11736372_at	1.1331261576603033
SOSTDC1	11754380_a_at	1.130574020732154
SYNPO2	11721602_a_at	1.1224437970039256
CPE	11743577_s_at	1.119206968658772
MBOAT2	11730901_at	1.1182180289627501
ACTG2	11715793_a_at	1.11708030521927
ACTG2	11748016_a_at	1.1144452087272558
GDF15	11716665_s_at	1.1140342065931934
FABP1	11723040_a_at	1.1134369412662029
DPEP1	11763828_a_at	1.1134072740938832
BAMBI	11756509_a_at	1.1126473303149753
PLN	11723645_at	1.1114518011340948
NMU	11728376_s_at	1.1089150432229156
