gene_symbol	logFC
LYPD8	1.6513377530763476
APOA2	1.3257902289823411
UGT2B15	1.1207334209533664
SULT1C2	1.1085595380006827
MUC4	1.062817590925117
NMNAT2	1.039711091931355
PPP1R9A	1.008998034374851
GULP1	-1.019721749189771
PLAU	-1.0269266885647634
COL10A1	-1.0283500163743746
CTHRC1	-1.040747236211885
CORIN	-1.0432961241449679
THBS2	-1.0450232642201065
ITGA1	-1.0510218798689528
SLCO1B3	-1.0588620238294975
ADAMTS5	-1.069773302343103
ADAMTS4	-1.0806917786694752
CA2	-1.100250466813631
TNFSF4	-1.1039277503549154
LPL	-1.121008261065106
MMP10	-1.1489156253643973
NOX4	-1.1601013118160575
ROBO2	-1.181330366223501
IBSP	-1.1866191153665806
CXCL10	-1.234683206896671
PLA2G2A	-1.2356977296441292
COL11A1	-1.2404062362876285
IGFBP3	-1.2450150048566258
GPR19	-1.2477052861158182
FLT1	-1.2825749527613544
HOPX	-1.289981233319431
ANGPT2	-1.2937183565352686
DIO2	-1.32614824214602
BMP8A	-1.3498522208494192
SHISA2	-1.3679417622940824
CXCL9	-1.380758991662121
ITGBL1	-1.387804677255739
NTM	-1.414340344370155
PDZD2	-1.4313375800485655
CXCL8	-1.4394388922883001
MMP7	-1.4441741952616594
CXCL11	-1.4654755095204932
COL9A1	-1.622187144739614
MMP11	-1.6376540425238164
GRP	-1.7914614646681055
DKK2	-1.9469338680483073
ESM1	-2.84250383477223
