gene_symbol	logFC
LYPD8	1.541907218080892
APOA2	1.4613017166901014
MUC4	1.3566267044397722
CCL11	1.3139716243032757
IGF2BP3	1.2917095526596303
C16orf54	1.264769709506763
LOC105369277	1.264769709506763
IGHG1	1.2041951835390232
IGHG3	1.2041951835390232
IGHM	1.2041951835390232
IGHV4-31	1.2041951835390232
PI15	1.1845216947225963
HOXB13	1.178614530943404
DMBT1	1.1742137364614929
TFPI2	1.1678110175548753
SELL	1.1508778371862434
NMNAT2	1.149269760040829
IGHG2	1.1485612360469188
CMTM2	1.14410092758081
MUC12	1.130868602078295
S100A12	1.120625435400687
SELP	1.072357074089833
CXCR1	1.047449827254694
DKK1	1.035763178648036
TSPAN7	1.0218278664901361
HBB	1.0142646318591961
CXCL13	1.0125806672061917
HBA1	1.0083966898846464
HBA2	1.0083966898846464
PLEKHB1	1.0060468020606586
CHI3L1	1.0046969740051015
LPL	-1.0048208863299473
ZIC2	-1.0235305798413683
IGFBP3	-1.0248969190137143
ITGA1	-1.025345011761502
TNFSF4	-1.026978480449749
CORIN	-1.0429818147636383
ITGBL1	-1.0432770921713794
COCH	-1.0758295524507744
ROBO2	-1.1066397009454396
SMPX	-1.1238998628642143
FLT1	-1.1457640042608124
HOPX	-1.15681187261248
ANGPT2	-1.162818367937783
SHISA2	-1.1829328140038116
DIO2	-1.185980863916622
CA2	-1.2171742551141858
CXCL11	-1.2185321908830018
SLCO1B3	-1.2196130325619599
NTM	-1.2234383541625664
BMP8A	-1.2627975589918508
IBSP	-1.3186462252847189
GPR19	-1.3544155478073288
PDZD2	-1.3817788232098025
MMP7	-1.3959528192969761
COL9A1	-1.534132491768112
DKK2	-1.674958190883832
MMP11	-1.7314964643038222
GRP	-1.7785545991470164
ESM1	-2.7258973066737
