gene_symbol	logFC
REG1B	1.8976386161042798
REG3A	1.7944603735724864
REG1A	1.7934805711212307
IGLL5	1.7419482438287968
IGLV1-36	1.7419482438287968
IGLV1-44	1.7419482438287968
IGLV1-47	1.7419482438287968
PLA2G2A	1.7139684746021404
IGKV3-11	1.679288192370094
IGKV3D-11	1.679288192370094
CLCA1	1.643120953441652
IGK	1.5800565235272905
IGKC	1.5800565235272905
IGKV1-16	1.5800565235272905
IGKV1-5	1.5800565235272905
IGKV1D-16	1.5800565235272905
IGKV1D-17	1.5800565235272905
CCL11	1.57700701767375
CLC	1.52209840134672
IGKV2-28	1.5147467284731178
IGKV2D-28	1.5147467284731178
SPINK4	1.4922202421856379
IGLL3P	1.3464673299783645
LGALS2	1.329719320507444
ORM1	1.325924597307842
ORM2	1.325924597307842
ADH1B	1.2960721589624637
JCHAIN	1.2948056040946627
ITLN1	1.2835860699210222
IGKV3-20	1.2771822771820616
IGKV3D-20	1.2771822771820616
ADH1C	1.2633715642530994
IGKV1-12	1.2144464782789335
IGKV1D-12	1.2144464782789335
IGHG1	1.1869056623489391
IGHG3	1.1869056623489391
IGHM	1.1869056623489391
IGHV4-31	1.1869056623489391
IGHG2	1.1355237192966336
CYP1B1	1.1225212948770416
OGN	1.114138580435358
IGKV2-24	1.0963898100704097
GAPT	1.0909913295121116
FCGBP	1.0852867778689645
IGH	1.0818214368642518
IGHA1	1.0818214368642518
IGHA2	1.0818214368642518
MAOA	1.0570953322885834
MS4A1	1.0542428370145178
GCG	1.035647566489336
TNFRSF17	1.034700024313649
CALB1	1.034160648061987
PCCA	1.0250711473708862
MZB1	1.0237065485126775
HECW2	-1.000709733487192
IQCJ-SCHIP1	-1.002066580303582
SCHIP1	-1.002066580303582
IER3	-1.0083906128629385
ACTC1	-1.0162383599607199
HAS2	-1.0204457760571195
COL4A2	-1.0209654580968943
FLT1	-1.021762677140457
TNFSF4	-1.0243120951861902
DKK3	-1.0263963208053264
ID4	-1.026889202520578
MCAM	-1.0289890146481733
APLN	-1.0300439123836256
TESC	-1.0496212742768667
ROBO4	-1.0534889247561694
CA2	-1.058941511480406
COL11A1	-1.0714592526699578
CXCL5	-1.076917753745727
NTM	-1.0783244136943373
SPP1	-1.08222322689375
MAP1B	-1.0841572290630344
HBA1	-1.105386277991263
HBA2	-1.105386277991263
TNFSF11	-1.10908486346249
COCH	-1.1125861415010971
ENPEP	-1.1159698547722035
IBSP	-1.1171546104812338
PDGFA	-1.1216754995210585
SOX8	-1.1289750026368697
ACKR3	-1.1374190590179294
ITGA1	-1.1399682922050873
CTGF	-1.1536880973815795
CREB5	-1.1537444207564953
CXCL8	-1.1611414373473843
ANO1	-1.1623122389544442
MMP1	-1.1858658936868585
ADGRF5	-1.2103866377909525
SERPINE1	-1.2126550297047924
PTGS2	-1.2136779064050194
THBS1	-1.2168308652760724
NR4A3	-1.2338558651548075
COL4A1	-1.2707082284430153
SLC6A14	-1.2826660694548375
C11orf96	-1.2966994604654245
INHBA	-1.2990420834028984
FN1	-1.3020356113417002
MMP3	-1.3401028392293401
STC1	-1.3685410131138
BMP8A	-1.3891036108564516
GDF15	-1.4419912447534675
ADAMTS4	-1.4766194944647644
IL11	-1.4848225016794678
IL6	-1.5736125943691819
MMP10	-1.5836131583189081
ANGPT2	-1.6139306456348372
CYR61	-1.647978507769705
COL10A1	-1.835938360864972
ESM1	-4.120037255155454
