gene_symbol	logFC
PLA2G2A	1.7591330482664032
IGLL5	1.641668291874367
IGLV1-36	1.641668291874367
IGLV1-44	1.641668291874367
IGLV1-47	1.641668291874367
IGKV3-11	1.6132402271646538
IGKV3D-11	1.6132402271646538
REG3A	1.5636262601789488
CLCA1	1.5627571874179762
IGK	1.5425506286900539
IGKC	1.5425506286900539
IGKV1-16	1.5425506286900539
IGKV1-5	1.5425506286900539
IGKV1D-16	1.5425506286900539
IGKV1D-17	1.5425506286900539
ADH1B	1.5319542184641162
REG1B	1.4746663745326676
REG1A	1.4543214394844288
IGKV2-28	1.4101774878758662
IGKV2D-28	1.4101774878758662
CLC	1.3835215417524553
JCHAIN	1.3727113245712708
CCL11	1.3143884470836416
SPINK4	1.3071002325465386
ORM1	1.293865549782247
ORM2	1.293865549782247
ADH1C	1.2487660655340915
IGLL3P	1.2461771178070287
LGALS2	1.2317490048557906
IGKV3-20	1.1868388338818878
IGKV3D-20	1.1868388338818878
MAOA	1.1753458685501004
IGHM	1.1460682142118244
IGKV1-12	1.1225199685821676
IGKV1D-12	1.1225199685821676
IGH	1.1051519711075115
IGHA1	1.1051519711075115
IGHA2	1.1051519711075115
TNFRSF17	1.0909440695917711
IGHG1	1.0805917416146182
IGHG3	1.0805917416146182
IGHV4-31	1.0805917416146182
FCGBP	1.0650728171091886
ITLN1	1.0582972649347526
IGHG2	1.0577419463966322
MZB1	1.0312437343104226
IGKV2-24	1.0034595927366834
HECW2	-1.004129100323308
ROBO4	-1.0069028953990418
ID4	-1.0075944900091844
FLT1	-1.0120762887128905
LOX	-1.026534209519023
MAP1B	-1.0267320293899111
ACTG2	-1.0281008465345929
SEMA3A	-1.0304809245484776
TNFSF11	-1.0610639550928127
ACKR3	-1.0627814671363616
CA2	-1.0800713042979624
ANO1	-1.0826038885625757
THBS1	-1.0891774519709625
DKK3	-1.08939934532599
PTGS2	-1.0905937270629602
TNFSF4	-1.1130247266258735
ITGA1	-1.1172660617680543
IBSP	-1.1258257247581247
CXCL5	-1.1272474513919897
ADGRF5	-1.1341952397474342
CXCL8	-1.1541295626261658
CTGF	-1.1552428584096919
TESC	-1.161409429950599
CREB5	-1.1627764646545784
NTM	-1.1720435935358329
COCH	-1.186271826191955
MMP1	-1.211188969771691
SERPINE1	-1.2114889048062236
COL11A1	-1.233298986793735
COL4A1	-1.235847083660645
SOX8	-1.241894253443648
C11orf96	-1.2489219067124704
NR4A3	-1.2492689361424287
SPP1	-1.2601293156577542
FN1	-1.2898787290812477
INHBA	-1.307499602462458
GDF15	-1.3196037786131756
MMP3	-1.330555556410612
STC1	-1.3378963077628572
IL11	-1.3419025349732139
BMP8A	-1.3867264599673748
SLC6A14	-1.4291287085988653
ADAMTS4	-1.4788499001900794
ANGPT2	-1.541331918705676
IL6	-1.5430349436136306
MMP10	-1.5770046461461011
CYR61	-1.604333966420565
COL10A1	-2.0274926595107
ESM1	-3.8318711199397786
