gene_symbol	logFC
MAGEA11	2.106035388015091
RPS4Y1	1.962419309807563
CKMT2	1.9315470251470326
DDX3Y	1.8834962227497782
WT1	1.8644414138649645
HLA-C	1.846729247941025
PTPRO	1.757904885595352
ORM1	1.7334821798712916
ORM2	1.7334821798712916
CXCL8	1.6912251769413225
SLC3A1	1.4926185303015869
EIF1AY	1.4225583953195569
SLC6A20	1.367564175576173
CYP4X1	1.3459026988695655
DUSP27	1.335267489355585
CCL18	1.3088927098436778
CXCL5	1.2225319313981289
ACSL6	1.1981098390620897
FAM118A	1.1973782481574085
SLC30A2	1.1690035034611264
NETO2	1.1408248950842514
MT1H	1.1376589270948014
C2CD4A	1.1369690823435257
JAG1	1.0926448009209817
LY6G6D	1.083160975822156
XKR9	1.0758581999883468
GPR143	1.070089749975453
MT1F	1.068575586075432
TMEM158	1.0591603320237348
TWIST1	1.0551689941982856
FABP3	1.0535158196395908
TM4SF20	1.0525806016209323
CHN2	1.0347913204029604
LOC101928168	1.0347913204029604
APCDD1	1.032403804163568
FZD10	1.028486785509097
IL6	1.0274585524618127
MT1A	1.0229608710027598
MT1P3	1.0229608710027598
TRIB3	1.0130855732588226
GDF10	1.0086318186324263
GPCPD1	1.0061862567043636
CTSE	-1.0008607743277897
CHGA	-1.001668743979223
CPNE8	-1.0040520455090591
REP15	-1.005372621138807
SOX6	-1.0059107495629267
MUC2	-1.0239748626457326
ST6GALNAC1	-1.0246209098096901
ERLIN2	-1.0258391053601859
PRKACB	-1.029853616808669
SERTAD4	-1.0313090776361877
SLC16A4	-1.0348299908694578
JCHAIN	-1.041325261550099
LYZ	-1.0436454980705425
SLITRK6	-1.05108227501072
SCEL	-1.0584061993218428
AQP3	-1.059825263695276
ADAMDEC1	-1.0635052145692239
MFAP5	-1.0662674498672995
CXCL12	-1.0744295763061267
FMO5	-1.0775072763092395
RARRES1	-1.0809835318389063
SIDT1	-1.0835508130208578
PRDM10	-1.084915933938874
TMIGD1	-1.0856277093366806
PUDP	-1.0929894735527077
VSIG2	-1.0933121566540493
MAGEA2	-1.0942334073916538
MAGEA2B	-1.0942334073916538
GUCA2A	-1.097256681353161
ABCA8	-1.1008880444173592
NTS	-1.1011870533859842
RGS13	-1.1045346887029273
MYH11	-1.1081581295793625
CES1	-1.1112930898991291
CES1P1	-1.1112930898991291
FAM169A	-1.1222838400052382
FAM46C	-1.1347901922617725
DCDC2	-1.1386129982415112
LGALS2	-1.1417523325668961
KRT6A	-1.1446897987237226
TNFRSF17	-1.1625011369477078
CLDN18	-1.164633952881073
CLDN8	-1.1650995943694362
TFF1	-1.1824686456672149
HLA-DQA1	-1.1846492017277541
HLA-DQA2	-1.1846492017277541
ADH1A	-1.1860587309369521
ADH1C	-1.1860587309369521
MS4A1	-1.191431738380884
GHR	-1.1946207380781924
CA8	-1.196246863704157
INSL5	-1.1968588624190748
SERPINA3	-1.2141523885715306
SCGB2A1	-1.2257087702629164
FRZB	-1.230463604660848
CA2	-1.2386327598405886
SCARA5	-1.2483213441104997
AGR3	-1.2595577930857003
ABCG2	-1.2642389426885907
B3GALT5-AS1	-1.269466644644549
SPINK4	-1.2795461875486192
KCTD12	-1.282798338794058
UGT2B7	-1.287765570376804
CMBL	-1.2932620740653873
CA4	-1.3119903841248475
GSTA1	-1.3297685705586122
SYNPO2	-1.3367298120350957
WFDC2	-1.3548682102129908
PLN	-1.355585044821405
FABP1	-1.3644544377266878
B3GNT7	-1.3964336212124004
ADGRG6	-1.4304830218125753
HSD17B2	-1.43227141904411
ZG16	-1.440103238308322
EDN3	-1.4767768386963158
HGD	-1.4930326476620361
CPE	-1.4986233277279197
SPINK5	-1.518888453926742
ITLN1	-1.5486263124383375
DHRS9	-1.5635189563142198
ALDH1A1	-1.565215344980775
ADH1B	-1.5751852532608195
REG4	-1.5822888248442497
HEPACAM2	-1.5842800373424861
CD177	-1.6225626578266898
SORBS2	-1.6362443925994696
SI	-1.6460992403838701
PCDH20	-1.6676071023508336
SLC4A4	-1.6701776634844268
PLA2G2A	-1.7097148284805155
SOSTDC1	-1.7215659498751705
MS4A12	-1.7465293310777714
FCGBP	-1.7484612342878965
PLAC8	-1.752996572809371
TACSTD2	-1.753004479954857
CLCA1	-1.8076438016496787
L1TD1	-1.8317652216352707
STMN2	-1.9623772632543652
FOXA1	-2.1386970279751316
CLCA4	-2.1401004246033555
IGFBP2	-2.2686070024035865
XIST	-3.2907131263186007
