gene_symbol	logFC
PTPRO	2.6988153558969064
HLA-C	2.5566592933822765
MAGEA11	2.0775297914870685
RPS4Y1	2.009580467649234
DDX3Y	1.794827671621042
EIF1AY	1.7217115240387988
CAPN8	1.4700671416987998
WT1	1.395900385922993
CXCL13	1.370772330902923
NOX1	1.2740412635158007
SLC6A20	1.2619685511505607
PIGR	1.258455617616282
MYEF2	1.2282771557420749
CCL18	1.2204524932919252
LEFTY1	1.1942399419670806
C2CD4A	1.1758892080346923
KIF26A	1.1583074388855479
KCNN4	1.1511586382355297
ENPP3	1.1426949453775617
FGGY	1.1420297401565294
RNF182	1.1413228434895906
LOC100190940	1.1390766133207106
PF4	1.1152444280320484
FAM118A	1.101087851939803
CXCL6	1.0641366948390727
ZFY	1.045770293081608
PIWIL1	1.0452287969634035
ALDOB	1.017986964943816
LOC102723906	1.0125489449647231
IL33	1.011496741271576
EPHB1	1.0078189057450384
SYT13	1.0052337094229806
PCOLCE2	-1.0107521763054537
GABRB2	-1.0130641522195616
ERLIN2	-1.014158081162905
LINC01296	-1.0152316576793106
LOC101929839	-1.0152316576793106
LGI2	-1.0166028555041324
MCOLN3	-1.0181758363630722
PYGL	-1.021786505120038
HLA-DPB1	-1.0304680147739336
NXPE4	-1.0315176896986442
SNCAIP	-1.033101246065487
SFTA2	-1.0377839172
DKK2	-1.0407994893937427
IGH	-1.0450195289290936
IGHA1	-1.0450195289290936
IGHA2	-1.0450195289290936
PCDHB2	-1.0480591826659091
CES1	-1.0580315971788652
CES1P1	-1.0580315971788652
KCTD12	-1.0586250326244828
CDKN1C	-1.061247043199715
RBP4	-1.061399850282987
GDAP1	-1.0657660617631959
WNT11	-1.0661876533078356
JCHAIN	-1.0691903846336674
PHGDH	-1.0700910563192914
SLC44A5	-1.078497730229539
CLDN18	-1.0870526739262036
SYNPO2	-1.1001696261220697
DEFB1	-1.1057443834471357
CPE	-1.1087710473093841
PUDP	-1.110066379648085
BEX4	-1.1253700249224559
FLRT3	-1.1284868665345937
REG1A	-1.1288233337407845
DCDC2	-1.1299379987873892
ACE2	-1.1315577108535402
HSD17B2	-1.1494751633324742
GRP	-1.166052237112855
SLC4A4	-1.1672103058315837
PCDHA1	-1.174465191940715
PCDHA10	-1.174465191940715
PCDHA11	-1.174465191940715
PCDHA12	-1.174465191940715
PCDHA13	-1.174465191940715
PCDHA2	-1.174465191940715
PCDHA3	-1.174465191940715
PCDHA4	-1.174465191940715
PCDHA5	-1.174465191940715
PCDHA6	-1.174465191940715
PCDHA7	-1.174465191940715
PCDHA8	-1.174465191940715
PCDHA9	-1.174465191940715
PCDHAC1	-1.174465191940715
PCDHAC2	-1.174465191940715
DNAJC15	-1.1789369723357526
SPINK4	-1.184111428578628
TKTL1	-1.2089220376862662
PCDH19	-1.2377564608764526
ITLN1	-1.2449105168231656
NTS	-1.265180443015011
GNG4	-1.2702089112835295
KIAA1324L	-1.2802184503968101
NMU	-1.298405899051531
FRZB	-1.3042696356414614
ST6GAL2	-1.3133872385921714
ADH1A	-1.3189478463341786
ADH1B	-1.3189478463341786
LYPD6B	-1.3341633842366922
GHR	-1.3401009980059007
C12orf56	-1.3488422835072986
MAGEA2	-1.3578330261553855
MAGEA2B	-1.3578330261553855
ADAMDEC1	-1.365504274940594
AGR3	-1.375341197672407
IGFBP2	-1.3954838504518616
ALDH1A1	-1.405080906520104
GRB14	-1.4600325562242884
PCSK1	-1.4610922039093805
STMN2	-1.4671819664658414
L1TD1	-1.4849661352076675
PLAG1	-1.4928222084807112
PCP4	-1.5206903449728855
FREM2	-1.527977824443444
PRDM10	-1.5351935549462896
HEPACAM2	-1.5864415703211043
FCGBP	-1.590848313426987
NPNT	-1.6017819809420628
PLA2G2A	-1.6846208475823694
SOSTDC1	-1.7463416164890369
CLCA1	-1.7847367418789706
ADH1C	-1.841818656249945
FABP1	-1.93251871006464
TACSTD2	-2.086294289719259
XIST	-2.3410081687321247
HMGCS2	-2.6497153019569546
MAGEA3	-3.1583887774750714
MAGEA6	-3.1583887774750714
