gene_symbol	logFC
LYPD8	1.4307098767958304
SOX8	1.319091903660194
CA12	1.1790266392173994
SELL	1.1782630577807893
APOA2	1.1261012480028463
S100A12	1.119428631741128
CXCL13	1.0702355050316772
CMTM2	1.0373271623527867
MS4A1	1.0196707025486313
PI15	1.00974767701703
IBSP	-1.0071502167505457
ROBO2	-1.0150862004241898
MAGEA3	-1.0225470166555022
MAGEA6	-1.0225470166555022
GPR19	-1.0647762649982098
ANGPT2	-1.0736545888634392
FLT1	-1.0987720090863249
KIAA1324L	-1.1071126823140798
BMP8A	-1.149447149747738
MMP11	-1.1957629458953214
CXCL9	-1.243865251754583
GRP	-1.25560132861896
CXCL11	-1.2806042881222996
CXCL10	-1.3083683285306904
ESM1	-1.9988931641860566
