gene_symbol	ID	logFC
LYPD8	11729538_at	1.4307098767958304
SOX8	11721911_at	1.319091903660194
APOA2	11718034_a_at	1.1984008870083893
APOA2	11753839_x_at	1.1940606942549985
CA12	11720947_x_at	1.1790266392173994
SELL	11720167_at	1.1782630577807893
CA12	11754856_a_at	1.152072565318333
APOA2	11757667_x_at	1.1261012480028463
S100A12	11725138_at	1.119428631741128
CXCL13	11720161_at	1.0702355050316772
CMTM2	11729784_a_at	1.0373271623527867
MS4A1	11755858_a_at	1.0196707025486313
CA12	11720946_at	1.018959132632867
PI15	11725585_at	1.00974767701703
ANGPT2	11742028_a_at	-1.0004940784653904
IBSP	11724065_at	-1.0071502167505457
ROBO2	11729987_s_at	-1.0150862004241898
MAGEA3	11726339_s_at	-1.0225470166555022
MAGEA6	11726339_s_at	-1.0225470166555022
CXCL8	11763226_x_at	-1.032550261237187
PDZD2	11718912_a_at	-1.0612561314546998
GPR19	11740637_at	-1.0647762649982098
ANGPT2	11728245_a_at	-1.0736545888634392
CXCL8	11754026_a_at	-1.0926690545149
FLT1	11724970_at	-1.0987720090863249
KIAA1324L	11741802_a_at	-1.1071126823140798
BMP8A	11728176_a_at	-1.149447149747738
PDZD2	11718913_s_at	-1.184776901753859
MMP11	11721124_s_at	-1.1957629458953214
CXCL9	11719943_at	-1.243865251754583
GRP	11756874_a_at	-1.25560132861896
CXCL11	11732467_x_at	-1.2806042881222996
CXCL11	11732466_a_at	-1.2819627824890194
COL9A1	11733155_a_at	-1.3063245160202144
CXCL10	11720298_at	-1.3083683285306904
CXCL11	11749245_a_at	-1.4093257882854484
DKK2	11728088_at	-1.5563025779702435
ESM1	11741353_a_at	-1.9988931641860566
ESM1	11729647_s_at	-2.578352426764709
