gene_symbol	logFC
PTPRO	2.574181500300809
MAGEA11	1.8948063380601337
DDX3Y	1.6159470625819985
RPS4Y1	1.5656223424629048
CAPN8	1.5576352841396321
EIF1AY	1.5151036262523299
LOC100190940	1.3003395978044943
IL33	1.2866317725843883
NOX1	1.2775088645960615
RNF182	1.2492489703556557
CXCL6	1.2428459156076386
KIF26A	1.2317673610995437
CCL18	1.1529145011557809
PI15	1.0859289582917473
C2CD4A	1.082148739133622
MMP3	1.0652222989470452
TINAG	1.0407433914637025
NOS2	1.0355036703775937
FABP6	1.0231162234954616
COL10A1	1.0193132015080764
DSC3	-1.0002995858496213
AKR1C4	-1.002763446133329
SLC44A5	-1.0100603274940827
NPSR1	-1.0140781000487955
DCDC2	-1.018259697523069
KL	-1.0223740151080847
CHGA	-1.028990370547239
HSD17B2	-1.0312689445945271
GABRB2	-1.0363450684837705
PCOLCE2	-1.0420230815065104
AGR3	-1.0538876173243619
PUDP	-1.0595767447761943
REG4	-1.0647519203131064
ABHD12B	-1.067176407850635
PCP4	-1.0828688670522881
SLCO1B3	-1.0872372528981682
BEX4	-1.0909852158327062
SDR16C5	-1.0936764279005757
SFTA2	-1.1003763625834537
RBP4	-1.1120721508399924
ZG16	-1.11359104536177
C12orf56	-1.1278651399661976
NTS	-1.1376060139133664
L1TD1	-1.1455542608514975
PLAC8	-1.1467850262923136
MAGEA2	-1.1521372848073121
MAGEA2B	-1.1521372848073121
ALDH1A1	-1.153746714747406
KIAA1324L	-1.1545673942456105
PLAG1	-1.1563202892934328
PCCA	-1.1594067307067064
ADAMDEC1	-1.1882730297492898
NMU	-1.1908279584485513
REG3A	-1.2052732546596232
CPE	-1.2070469584128265
GRP	-1.2090602478723547
ST6GAL2	-1.2113552067114535
NXPE4	-1.2479910966267855
GNG4	-1.2774859101826488
FRZB	-1.2856450446790857
PCDH19	-1.288248947793714
SLC4A4	-1.3065303681731881
LYPD6B	-1.3281169474683168
STMN2	-1.347408882612485
FABP1	-1.3811822111601622
PRDM10	-1.3811822111601622
GRB14	-1.3845813048673827
GHR	-1.40456827905248
NPNT	-1.4573748965734694
ADH1A	-1.485108369658124
ADH1B	-1.485108369658124
ADH1C	-1.485108369658124
SOSTDC1	-1.5772634325117547
SPINK4	-1.5891037683703377
REG1A	-1.5936316076451966
TACSTD2	-1.6315550501036933
HEPACAM2	-1.673585897489754
ITLN1	-1.70048920292931
FCGBP	-1.7122413175307458
PLA2G2A	-1.7427480143535359
PCSK1	-1.7831986888897768
CLCA1	-1.9204381488159985
XIST	-2.063845935621144
HMGCS2	-2.2201652135706658
MAGEA3	-2.6172550521535696
MAGEA6	-2.6172550521535696
