gene_symbol	ID	logFC
PTPRO	11725685_a_at	2.574181500300809
PTPRO	11725684_a_at	2.198874660405294
HLA-C	11715316_x_at	2.0480626108843323
PTPRO	11740474_a_at	2.018861689410863
MAGEA11	11734428_a_at	1.8948063380601337
PTPRO	11736665_a_at	1.8671873212523615
DDX3Y	11724075_a_at	1.6159470625819985
RPS4Y1	11716411_x_at	1.5656223424629048
CAPN8	11731325_a_at	1.5576352841396321
EIF1AY	11720807_x_at	1.5151036262523299
NOX1	11736459_a_at	1.4202449479217183
LOC100190940	11757199_at	1.3003395978044943
IL33	11743859_x_at	1.2866317725843883
IL33	11751426_a_at	1.2857497351936962
IL33	11743858_at	1.279345866331255
NOX1	11744651_a_at	1.2775088645960615
NA	11759866_at	1.2578078719019505
RNF182	11737774_a_at	1.2492489703556557
CXCL6	11730801_at	1.2428459156076386
KIF26A	11729429_a_at	1.2317673610995437
PIGR	11716112_at	1.2313776769105509
FAM118A	11746669_a_at	1.2238816408269955
FAM118A	11720023_a_at	1.1948892959410458
MYEF2	11727996_a_at	1.1870624587774343
MYEF2	11754279_a_at	1.1543476293635457
CCL18	11720251_at	1.1529145011557809
WT1	11730686_a_at	1.1099131420742658
PI15	11725585_at	1.0859289582917473
TXLNGY	11764064_s_at	1.085546854210536
C2CD4A	11731015_at	1.082148739133622
MMP3	11723635_s_at	1.0652222989470452
TINAG	11760664_at	1.0407433914637025
NOS2	11724403_at	1.0355036703775937
FAM3B	11732500_a_at	1.0339789766343053
FABP6	11725724_a_at	1.0231162234954616
COL10A1	11735218_at	1.0193132015080764
APOLD1	11719883_a_at	1.017157815194217
LAMC2	11737323_at	1.011481493317139
LAMC2	11737324_x_at	1.0079337504866386
DKK2	11728088_at	-1.0002190585767134
DSC3	11754838_a_at	-1.0002995858496213
AKR1C4	11731677_at	-1.002763446133329
DSC3	11743835_a_at	-1.00489246718998
NOV	11723033_at	-1.0094823728770015
SLC44A5	11733492_s_at	-1.0100603274940827
NPSR1	11753482_a_at	-1.0140781000487955
KCTD12	11715948_at	-1.0142710520403302
DCDC2	11729039_at	-1.018259697523069
PUDP	11751354_a_at	-1.0223118871101908
KL	11757777_s_at	-1.0223740151080847
CHGA	11723302_a_at	-1.028990370547239
SLC44A5	11733491_a_at	-1.0302089529668361
HSD17B2	11744099_a_at	-1.0312689445945271
GABRB2	11733243_a_at	-1.0363450684837705
PCOLCE2	11728451_a_at	-1.0420230815065104
CLDN18	11722312_a_at	-1.0495695565029282
ACE2	11725624_at	-1.0511943579409504
AGR3	11723524_at	-1.0538876173243619
NXPE4	11740645_a_at	-1.0578324801952252
PUDP	11719628_a_at	-1.0595767447761943
PHGDH	11728203_a_at	-1.0607405316809944
REG4	11746772_a_at	-1.0647519203131064
ABHD12B	11738864_a_at	-1.067176407850635
ALDH1A1	11752549_x_at	-1.0722810063910417
REG1B	11742919_x_at	-1.0749703858143462
MAGEA2	11749282_a_at	-1.0788364966127701
MAGEA2B	11749282_a_at	-1.0788364966127701
PCK1	11726273_a_at	-1.079165535432561
TKTL1	11726242_a_at	-1.0822298928410303
PCP4	11722232_a_at	-1.0828688670522881
SLCO1B3	11732569_at	-1.0872372528981682
BEX4	11718588_a_at	-1.0909852158327062
SDR16C5	11754879_a_at	-1.0936764279005757
C12orf56	11735607_a_at	-1.0997251397767318
SFTA2	11733543_at	-1.1003763625834537
RBP4	11718132_at	-1.1120721508399924
ZG16	11722059_at	-1.11359104536177
C12orf56	11735608_s_at	-1.1278651399661976
NTS	11719684_a_at	-1.1376060139133664
CPE	11743576_at	-1.1415434200033694
L1TD1	11723364_at	-1.1455542608514975
PLAC8	11755748_s_at	-1.1467850262923136
MAGEA2	11749283_x_at	-1.1521372848073121
MAGEA2B	11749283_x_at	-1.1521372848073121
ALDH1A1	11752548_a_at	-1.153746714747406
KIAA1324L	11741802_a_at	-1.1545673942456105
PLAG1	11736801_a_at	-1.1563202892934328
PCCA	11727385_a_at	-1.1594067307067064
DNAJC15	11743049_at	-1.159725107309403
SYNPO2	11721602_a_at	-1.165521829929721
ADAMDEC1	11729111_x_at	-1.1882730297492898
MAGEA2	11731297_x_at	-1.1893439612563403
MAGEA2B	11731297_x_at	-1.1893439612563403
NMU	11728377_x_at	-1.1908279584485513
STMN2	11717826_x_at	-1.192228655387744
ADH1B	11746898_x_at	-1.201247691113867
REG3A	11719674_at	-1.2052732546596232
CPE	11743577_s_at	-1.2070469584128265
GRP	11756874_a_at	-1.2090602478723547
ST6GAL2	11724383_at	-1.2113552067114535
ADAMDEC1	11729110_s_at	-1.2171179710436686
ADAMDEC1	11751267_a_at	-1.2238541125611144
PLAG1	11741638_a_at	-1.2393634499661
NXPE4	11741986_a_at	-1.2479910966267855
GNG4	11725128_a_at	-1.2595436436344434
ALDH1A1	11743044_a_at	-1.2598495485276642
ADAMDEC1	11750826_x_at	-1.2601824854228658
GNG4	11726228_x_at	-1.2774859101826488
FRZB	11720326_a_at	-1.2856450446790857
PCDH19	11745374_a_at	-1.288248947793714
SLC4A4	11717820_a_at	-1.3065303681731881
HLA-DPB1	11758369_x_at	-1.3156827594781966
LYPD6B	11744596_a_at	-1.3281169474683168
GNG4	11753860_a_at	-1.3284714313180037
NMU	11728376_s_at	-1.3386723744069808
XIST	11754194_s_at	-1.3467140110164024
ADAMDEC1	11750825_a_at	-1.3468549560324141
STMN2	11717825_a_at	-1.347408882612485
FABP1	11723041_s_at	-1.3811822111601622
PRDM10	11723041_s_at	-1.3811822111601622
GRB14	11723586_a_at	-1.3845813048673827
HEPACAM2	11750918_a_at	-1.3896086203942084
FREM2	11735084_s_at	-1.392952366830504
GHR	11728055_at	-1.40456827905248
ADH1B	11747167_x_at	-1.4106302860158184
NPNT	11718435_a_at	-1.4573748965734694
ADH1A	11722994_s_at	-1.485108369658124
ADH1B	11722994_s_at	-1.485108369658124
ADH1C	11722994_s_at	-1.485108369658124
XIST	11757857_s_at	-1.486101956067019
STMN2	11758790_a_at	-1.5179591434493165
PLA2G2A	11754033_a_at	-1.5346718552371748
SOSTDC1	11754380_a_at	-1.5772634325117547
SPINK4	11741453_at	-1.5891037683703377
REG1A	11715386_at	-1.5936316076451966
FABP1	11758878_x_at	-1.618554465956315
TACSTD2	11717301_at	-1.6315550501036933
HEPACAM2	11728821_a_at	-1.673585897489754
ITLN1	11723027_at	-1.70048920292931
FCGBP	11716486_at	-1.7122413175307458
PLA2G2A	11757057_x_at	-1.7427480143535359
FABP1	11723040_a_at	-1.7686078751481755
PCSK1	11736339_a_at	-1.7831986888897768
PLA2G2A	11718416_a_at	-1.872561962773176
CLCA1	11728746_a_at	-1.9204381488159985
ADH1C	11730780_x_at	-2.015219232764279
XIST	11757733_s_at	-2.063845935621144
ADH1C	11730779_at	-2.0711985564185773
HMGCS2	11720533_a_at	-2.2201652135706658
MAGEA3	11726339_s_at	-2.6172550521535696
MAGEA6	11726339_s_at	-2.6172550521535696
