gene_symbol	logFC
CLCA1	2.0945453839628527
REG3A	1.986449998593394
REG1B	1.7958167581547535
REG1A	1.6077612232418712
SPINK4	1.5476641955159547
IGLV1-36	1.4665934597240546
IGLV1-44	1.4665934597240546
IGLV1-47	1.4665934597240546
ITLN1	1.2972459028760088
LGALS2	1.276487123463078
PCCA	1.2377884065584475
IGKV1-16	1.2039317932445117
IGKV1D-16	1.2039317932445117
IGKV1D-17	1.2039317932445117
IGKV2-28	1.1951360947857694
IGKV2D-28	1.1951360947857694
FCGBP	1.1885731122925978
DEFA5	1.1664559121877867
OGN	1.1646586298203516
CLC	1.158960710948885
CCL11	1.1559042516557643
PLA2G2A	1.1379223702710366
IGLL3P	1.1194468074521806
IGKV3-11	1.1027460780483356
IGKV3D-11	1.1027460780483356
PCP4	1.0823981578411894
HEPACAM2	1.0634784149233927
IGHM	1.0262104881312304
GCG	1.0247293350323154
NXPE1	1.020723104225718
IGK	1.0100251738885095
IGKC	1.0100251738885095
IGKV1-5	1.0100251738885095
IGKV2-24	1.0100251738885095
ENPEP	-1.009429846408647
PTGS2	-1.0219886686360873
MMP1	-1.0274719060197306
ANO1	-1.032736124519115
FLT1	-1.0421046967291154
HAS2	-1.0535604947050334
HECW2	-1.0606516506992563
ITGA1	-1.0702731652041315
FOXQ1	-1.0734033205940237
MAP1B	-1.0828194253665817
ROBO4	-1.085832104769187
COL4A1	-1.1074608445789504
ACKR3	-1.10817930426275
SLC6A14	-1.109434402462341
PDGFA	-1.1199363917355312
COCH	-1.126004343137617
C11orf96	-1.1646191803950074
TESC	-1.166696248336308
BMP8A	-1.183876194321554
SERPINE1	-1.2153740004851041
STC1	-1.2220991356951671
INHBA	-1.2262087494173137
NR4A3	-1.2332241250038987
ADGRF5	-1.2535813534135976
MMP3	-1.3120089903927088
HBA1	-1.3737202770559622
HBA2	-1.3737202770559622
ADAMTS4	-1.3826353945553524
MMP10	-1.3892777291015683
IL11	-1.4660569276311506
ANGPT2	-1.4743488751738774
COL10A1	-1.4850232233941014
IL6	-1.5464810534124442
CYR61	-1.5994089912951228
ESM1	-2.8092959502957973
