gene_symbol	ID	logFC
CLCA1	11728746_a_at	2.0945453839628527
REG3A	11719674_at	1.986449998593394
REG1B	11742919_x_at	1.922772259717874
REG1B	11742918_a_at	1.7958167581547535
REG1A	11715386_at	1.6077612232418712
PLA2G2A	11718416_a_at	1.5653531942242385
SPINK4	11741453_at	1.5476641955159547
IGLL5	11755382_x_at	1.4665934597240546
IGLV1-36	11755382_x_at	1.4665934597240546
IGLV1-44	11755382_x_at	1.4665934597240546
IGLV1-47	11755382_x_at	1.4665934597240546
ADH1C	11730779_at	1.3501330426208535
ITLN1	11723027_at	1.2972459028760088
LGALS2	11731798_a_at	1.276487123463078
ADH1C	11730780_x_at	1.2466181206846807
PCCA	11727385_a_at	1.2377884065584475
IGK	11763222_x_at	1.2039317932445117
IGKC	11763222_x_at	1.2039317932445117
IGKV1-16	11763222_x_at	1.2039317932445117
IGKV1-5	11763222_x_at	1.2039317932445117
IGKV1D-16	11763222_x_at	1.2039317932445117
IGKV1D-17	11763222_x_at	1.2039317932445117
IGKV2-28	11763253_x_at	1.1951360947857694
IGKV2D-28	11763253_x_at	1.1951360947857694
FCGBP	11716486_at	1.1885731122925978
CYP1B1	11720411_s_at	1.184966666499255
DEFA5	11728642_s_at	1.1664559121877867
OGN	11736191_s_at	1.1646586298203516
CLC	11727473_at	1.158960710948885
CCL11	11731776_at	1.1559042516557643
PLA2G2A	11757057_x_at	1.1379223702710366
IGLL3P	11715164_s_at	1.1194468074521806
IGKV3-11	11763144_x_at	1.1027460780483356
IGKV3D-11	11763144_x_at	1.1027460780483356
PCP4	11722232_a_at	1.0823981578411894
MAOA	11755443_a_at	1.0716215933974897
CP	11755193_x_at	1.0697473098753676
CP	11726982_a_at	1.0660853266018417
HEPACAM2	11728821_a_at	1.0634784149233927
MAOA	11745923_x_at	1.055556218079139
IGHG1	11760929_x_at	1.0489447187014402
IGHG3	11760929_x_at	1.0489447187014402
IGHM	11760929_x_at	1.0489447187014402
IGHV4-31	11760929_x_at	1.0489447187014402
IGHG3	11761467_x_at	1.0453723759811346
IGHG1	11759852_x_at	1.0262104881312304
IGHG3	11759852_x_at	1.0262104881312304
IGHM	11759852_x_at	1.0262104881312304
IGHV4-31	11759852_x_at	1.0262104881312304
GCG	11742762_at	1.0247293350323154
IGKV1-5	11763684_x_at	1.0241369719796638
JCHAIN	11735989_s_at	1.0226137798856834
DEFA5	11728641_at	1.0213816369895863
NXPE1	11755195_a_at	1.020723104225718
IGHG1	11745244_x_at	1.0140162206390695
IGHG2	11745244_x_at	1.0140162206390695
IGHG3	11745244_x_at	1.0140162206390695
IGHM	11745244_x_at	1.0140162206390695
IGHV4-31	11745244_x_at	1.0140162206390695
IGK	11763550_x_at	1.0100251738885095
IGKC	11763550_x_at	1.0100251738885095
IGKV1-5	11763550_x_at	1.0100251738885095
IGKV2-24	11763550_x_at	1.0100251738885095
OGN	11736190_a_at	1.0018454647472375
GDF15	11716663_a_at	-1.00455648640094
LPL	11718972_at	-1.0048168637594257
HBB	11715348_x_at	-1.0060110916766813
ENPEP	11758509_s_at	-1.009429846408647
PTGS2	11724037_at	-1.0219886686360873
MMP1	11755928_s_at	-1.0274719060197306
ANO1	11723829_s_at	-1.032736124519115
PTGS2	11724036_a_at	-1.0351438467696124
FLT1	11724970_at	-1.0421046967291154
EGR1	11717860_a_at	-1.0517233535498498
FOXQ1	11722783_at	-1.0531955031971023
HAS2	11740312_at	-1.0535604947050334
CXCL5	11728715_at	-1.0598633161280233
HECW2	11730580_s_at	-1.0606516506992563
CXCL8	11754026_a_at	-1.0643475881869549
ITGA1	11737127_a_at	-1.0702731652041315
FOXQ1	11758028_s_at	-1.0734033205940237
MAP1B	11744047_a_at	-1.0828194253665817
CXCL8	11763226_x_at	-1.083567567714887
ROBO4	11755778_a_at	-1.085832104769187
ADGRF5	11742860_a_at	-1.0908483782401142
CTGF	11715441_a_at	-1.0917990492027165
COL4A1	11716638_s_at	-1.1074608445789504
ACKR3	11722598_s_at	-1.10817930426275
SLC6A14	11732565_at	-1.109434402462341
COL9A1	11733155_a_at	-1.1138834055652769
PDGFA	11729062_a_at	-1.1199363917355312
CREB5	11722970_a_at	-1.1227473033145046
COCH	11722821_a_at	-1.126004343137617
GDF15	11716665_s_at	-1.1317775891282453
MMP1	11741897_a_at	-1.1334774930987308
PDGFA	11729063_a_at	-1.1612956598979371
C11orf96	11719899_at	-1.1646191803950074
SLC6A14	11732566_at	-1.1658145567627312
TESC	11720372_at	-1.166696248336308
COL4A1	11716639_a_at	-1.1680363650831005
HBB	11753712_x_at	-1.1691759026469108
CXCL5	11728716_x_at	-1.1766879267834298
BMP8A	11728176_a_at	-1.183876194321554
INHBA	11731496_at	-1.184475299244994
PTGS2	11724038_a_at	-1.1964642764752575
STC1	11724197_at	-1.2124835052289793
SERPINE1	11757312_x_at	-1.2153740004851041
