gene_symbol	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
FMO1	11754496_x_at	0.9902364225410647	4.245604314785741	5.747314503146374	5.68977665706148e-6	0.029509016998737956	3.1444768143323243
SLC6A19	11722780_at	0.4741533037480252	4.339736160864503	6.16226646035543	2.009901258874914e-6	0.0247889677065478	3.9032978549413633
FCGRT	11763958_at	0.4065184476573718	5.925470798068561	5.630431541105326	7.648951125702642e-6	0.03323524869513834	2.9260114849055983
GBP4	11749595_a_at	-0.47898706285500126	3.2222884082708037	-5.830480853852036	4.612786864187703e-6	0.02848107589456895	3.2986987748846976
MCAM	11724460_a_at	-0.7554829272509309	5.395981181964499	-6.073221959354563	2.5092588021609275e-6	0.0247889677065478	3.7427546138715266
COL13A1	11730533_a_at	-0.839108040294656	5.605867763903844	-6.785633045028884	4.355103458524493e-7	0.007170677844460577	4.989799153046211
CCDC3	11717885_a_at	-0.9617010672302637	7.557925747655852	-5.896256100337491	3.909105186575629e-6	0.027584321527271884	3.4199303402752674
MCAM	11724459_x_at	-0.9790769630972367	7.385278723256267	-5.728022666839463	5.974089887384949e-6	0.029509016998737956	3.108555490057433
ITGA1	11737127_a_at	-1.0702731652041315	6.333400704503289	-5.609108372178168	8.074156986368257e-6	0.03323524869513834	2.8859450547700805
ANGPT2	11728245_a_at	-1.4743488751738774	6.431799350837966	-5.419944541855499	1.3066969246828829e-5	0.04964945738054692	2.5277658539336842
ANGPT2	11742028_a_at	-1.575985957837398	6.423038269749401	-5.941703383624724	3.487455487240049e-6	0.027584321527271884	3.503305867579228
ESM1	11741353_a_at	-2.8092959502957973	6.241841369043554	-10.159864462971164	2.6090947389764454e-10	8.214953133598158e-6	9.68779868318303
ESM1	11729647_s_at	-3.924145631485568	5.3414078701809125	-10.037761337819957	3.3262286197380944e-10	8.214953133598158e-6	9.55059065472988
