gene_symbol	logFC
PTPRO	2.690627894771816
MAGEA11	1.995981660660405
PIGR	1.9721905475843595
NOX1	1.7605539693484378
CKMT2	1.6503034619013794
ORM1	1.6227117390167005
IL33	1.5500557161498962
DDX3Y	1.4784767609282239
REG3A	1.4613376624187469
EIF1AY	1.4585778015138207
C2CD4A	1.4100040734059798
CXCL11	1.3862144003782149
CCL18	1.2972777908223563
GABBR1	1.294148966308164
UBD	1.294148966308164
SYT13	1.2682785401430525
PIWIL1	1.2663207071034317
KIF26A	1.2538787482501077
MT1H	1.2412622376532436
MT1M	1.2124824080644263
FABP6	1.211164125454001
GPCPD1	1.205921313120447
CXCL10	1.19948918381397
RPS4Y1	1.1631939036520926
CHN2	1.1614259944844045
LOC101928168	1.1614259944844045
IGKV1-12	1.1582121925625313
IGKV1D-12	1.1582121925625313
CA9	1.152008408615158
CCND2	1.0811483593324418
MT1JP	1.076652178721977
MT1P3	1.076652178721977
XK	1.0625172095320679
PTPRD	1.039229232830568
AIM2	1.034990615669475
PNLIPRP2	1.0295663148005314
C4BPA	1.028521363277064
MAP7D2	1.027291103082927
LOC100190940	1.0240523811134428
MT1F	1.0163930017820988
GZMA	1.0150718488037858
ALDH1A1	-1.0112650321665253
MYH11	-1.019780322322766
SLC6A14	-1.0221686240469108
NPTX2	-1.0250647543342755
HS6ST2	-1.0272014073949705
CCL19	-1.0291036618540579
LYPD8	-1.0341304281354038
PTGDS	-1.0435491762722124
CXCL14	-1.0482363964365717
CTSE	-1.048817358014043
SEMA3D	-1.049144015687549
PRAME	-1.055287923508132
BST1	-1.05584955606939
MAGEA2	-1.0605806653106147
MAGEA2B	-1.0605806653106147
SYNPO2	-1.063614118928153
DUSP27	-1.0738452243407561
SCGB2A1	-1.076955314268587
S100A4	-1.1052107275291796
TESC	-1.1338201109810644
NPNT	-1.145854443408595
MUC17	-1.1620891203346275
PPP1R14A	-1.1628619550190087
RGCC	-1.1655380814189282
KRT17	-1.1799543503954784
BAMBI	-1.1799821057641813
AGR3	-1.1807232538987265
SERPINA3	-1.1807294863389615
SLCO4A1-AS1	-1.203747708604448
CPE	-1.2053858106790916
CNN1	-1.2162476303189997
PROM1	-1.23591702902832
CES1	-1.2530087341672496
CES1P1	-1.2530087341672496
NMNAT2	-1.2712596160338698
REG4	-1.2770749760183904
FRAS1	-1.2811256667653321
PPBP	-1.310026859230593
ACTG2	-1.3163561812724325
NTS	-1.3183083218231513
UGT2B15	-1.3340018790842638
DSG3	-1.347438222431533
WIF1	-1.3887395717764388
PLN	-1.433751707107489
DPEP1	-1.4444518154262846
SFTA2	-1.4534692306133383
SAMD5	-1.4741645155395098
HBB	-1.496952883246414
IGFBP2	-1.5234433573764914
APOA2	-1.5303837610074364
WNT11	-1.5500166476212112
ADGRG6	-1.6252909494726335
MAGEA3	-1.659963452519019
MAGEA6	-1.659963452519019
TACSTD2	-1.7395084731030144
GRB14	-1.7525148092558562
HBA1	-1.817802753741593
HBA2	-1.817802753741593
HMGCS2	-1.933356983612283
SOX8	-1.9587142000591813
STMN2	-1.9702896610663534
KRT23	-2.1124133256592783
XIST	-2.1221772888196337
