gene_symbol	ID	logFC
PTPRO	11725685_a_at	2.690627894771816
PTPRO	11725684_a_at	2.226703510264821
PTPRO	11740474_a_at	2.1317805747454255
PIGR	11716111_x_at	2.0450537176959998
MAGEA11	11734428_a_at	1.995981660660405
NOX1	11736459_a_at	1.9760785675404504
PIGR	11716109_a_at	1.9721905475843595
WT1	11730686_a_at	1.9640718425260815
ORM1	11744904_a_at	1.8274427458647033
ORM2	11744904_a_at	1.8274427458647033
PIGR	11716110_s_at	1.8113661592929162
NOX1	11744651_a_at	1.7605539693484378
PIGR	11716112_at	1.7604751675262502
ORM1	11754065_x_at	1.6692070631613083
CKMT2	11719876_at	1.6503034619013794
IL33	11751426_a_at	1.6373554301021631
ORM1	11744905_x_at	1.6227117390167005
FAM118A	11746669_a_at	1.5852925632666057
IL33	11743859_x_at	1.5500557161498962
PTPRO	11736665_a_at	1.5441815710000206
IL33	11743858_at	1.5427981147260956
DDX3Y	11724075_a_at	1.4784767609282239
REG3A	11719674_at	1.4613376624187469
EIF1AY	11720807_x_at	1.4585778015138207
CXCL11	11749245_a_at	1.4455703981933592
FAM118A	11720023_a_at	1.4413706447411663
PTPRD	11721789_a_at	1.4244980365579225
C2CD4A	11731015_at	1.4100040734059798
CXCL11	11732466_a_at	1.3905389225833034
CXCL11	11732467_x_at	1.3862144003782149
CCL18	11720251_at	1.2972777908223563
GABBR1	11723069_at	1.294148966308164
UBD	11723069_at	1.294148966308164
ORM1	11758794_x_at	1.275933782993068
SYT13	11724631_at	1.2682785401430525
PIWIL1	11728487_at	1.2663207071034317
CCL4L1	11744660_s_at	1.2563989445449355
CCL4L2	11744660_s_at	1.2563989445449355
KIF26A	11729429_a_at	1.2538787482501077
MT1H	11731857_x_at	1.2412622376532436
CHN2	11721936_a_at	1.2183760919754758
LOC101928168	11721936_a_at	1.2183760919754758
MT1M	11728398_x_at	1.2124824080644263
FABP6	11725724_a_at	1.211164125454001
GPCPD1	11718503_a_at	1.205921313120447
CXCL10	11720298_at	1.19948918381397
GPCPD1	11718502_at	1.1983352796781146
MT1JP	11763100_x_at	1.1662671995980531
RPS4Y1	11716411_x_at	1.1631939036520926
CHN2	11757516_s_at	1.1614259944844045
LOC101928168	11757516_s_at	1.1614259944844045
IGKV1-12	11759652_x_at	1.1582121925625313
IGKV1D-12	11759652_x_at	1.1582121925625313
CA9	11723326_at	1.152008408615158
MCM8	11734972_x_at	1.150588785283074
CA9	11723327_x_at	1.1488758150205083
CCND2	11719197_at	1.1371227002099256
JAG1	11751993_a_at	1.1177449162275188
CCND2	11719198_s_at	1.0811483593324418
MT1JP	11753736_s_at	1.076652178721977
MT1M	11753736_s_at	1.076652178721977
MT1P3	11753736_s_at	1.076652178721977
MT1M	11728397_at	1.0709347980693815
XK	11728137_at	1.0625172095320679
CA9	11752982_x_at	1.0529686577698971
APOLD1	11719883_a_at	1.0397076061723958
PTPRD	11721790_s_at	1.039229232830568
FMO1	11754496_x_at	1.0359380382956758
AIM2	11730458_at	1.034990615669475
PNLIPRP2	11717232_a_at	1.0295663148005314
C4BPA	11744719_x_at	1.028521363277064
MAP7D2	11754254_a_at	1.027291103082927
PIGZ	11744319_a_at	1.024181247722237
LOC100190940	11757199_at	1.0240523811134428
ART3	11728521_a_at	1.0233494655873745
MT1F	11721877_s_at	1.0163930017820988
GZMA	11720496_at	1.0150718488037858
ABCD3	11741591_at	1.0069617908598982
SLC16A4	11749024_x_at	-1.0009735028691775
ALDH1A1	11752548_a_at	-1.0112650321665253
XIST	11754196_s_at	-1.0167073228827022
MYH11	11732178_a_at	-1.019780322322766
TKTL1	11726242_a_at	-1.0205003693149344
S100A4	11718064_a_at	-1.021732595044849
SLC6A14	11732565_at	-1.0221686240469108
NPTX2	11720005_at	-1.0250647543342755
ACTG2	11715794_x_at	-1.0267411399295074
HS6ST2	11724605_a_at	-1.0272014073949705
CCL19	11721685_at	-1.0291036618540579
GDF15	11716665_s_at	-1.0319399221753995
LYPD8	11729538_at	-1.0341304281354038
S100A4	11723006_a_at	-1.0353183090945102
PTGDS	11756587_a_at	-1.0435491762722124
VSIG2	11754421_a_at	-1.045447249653407
DPEP1	11763828_a_at	-1.0465890010223455
CXCL14	11717912_s_at	-1.0482363964365717
CTSE	11743162_a_at	-1.048817358014043
SEMA3D	11731195_at	-1.049144015687549
PRAME	11717271_a_at	-1.055287923508132
ERLIN2	11741587_x_at	-1.0554074435017284
BST1	11729846_a_at	-1.05584955606939
MAGEA2	11749283_x_at	-1.0605806653106147
MAGEA2B	11749283_x_at	-1.0605806653106147
KRT6A	11742955_x_at	-1.0623427096904674
SYNPO2	11731554_a_at	-1.063614118928153
NTS	11719685_at	-1.073473301813939
DUSP27	11740051_at	-1.0738452243407561
SCGB2A1	11722863_at	-1.076955314268587
NMU	11728376_s_at	-1.0794733428581278
NMNAT2	11742025_a_at	-1.0865512621723248
MAGEA2	11749282_a_at	-1.0992800658261954
MAGEA2B	11749282_a_at	-1.0992800658261954
S100A4	11756146_x_at	-1.1052107275291796
SLC16A4	11749023_a_at	-1.1219491434902231
CPE	11743576_at	-1.1255148358561389
TESC	11720372_at	-1.1338201109810644
ERLIN2	11735260_s_at	-1.1352351526867892
NPNT	11718435_a_at	-1.145854443408595
KRT6A	11742954_a_at	-1.1537747219043801
ERLIN2	11745025_a_at	-1.160276812848318
UGT2B15	11741265_s_at	-1.1618793675444117
MUC17	11736372_at	-1.1620891203346275
PPP1R14A	11719121_a_at	-1.1628619550190087
RGCC	11717582_a_at	-1.1655380814189282
CXCL14	11756059_a_at	-1.1659158864317591
PLEKHB1	11717774_a_at	-1.1697885610270715
KRT17	11715280_s_at	-1.1799543503954784
BAMBI	11756509_a_at	-1.1799821057641813
AGR3	11723524_at	-1.1807232538987265
SERPINA3	11716491_s_at	-1.1807294863389615
PLAC8	11739482_x_at	-1.1849625850949335
SLCO4A1-AS1	11757046_a_at	-1.203747708604448
CPE	11743577_s_at	-1.2053858106790916
CLDN10	11739761_a_at	-1.208143484021948
CNN1	11734311_s_at	-1.2162476303189997
SCEL	11734853_x_at	-1.2198943416947676
